날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5
2019-03-01 01,서울 중구,중구,111121,.004,.8,.011,.069,94,67
2019-03-01 02,서울 중구,중구,111121,.004,.8,.007,.069,88,63
2019-03-01 03,서울 중구,중구,111121,.004,.9,.003,.073,91,68
2019-03-01 04,서울 중구,중구,111121,.004,.9,.005,.069,94,68
2019-03-01 05,서울 중구,중구,111121,.004,.9,.006,.066,99,72
2019-03-01 06,서울 중구,중구,111121,.004,.9,.004,.066,90,66
2019-03-01 07,서울 중구,중구,111121,.004,.9,.003,.066,92,66
2019-03-01 08,서울 중구,중구,111121,.004,1,.003,.071,91,65
2019-03-01 09,서울 중구,중구,111121,.005,1,.004,.073,88,63
2019-03-01 10,서울 중구,중구,111121,.006,1.3,.006,.08,96,67
2019-03-01 11,서울 중구,중구,111121,.006,1,.011,.074,118,86
2019-03-01 12,서울 중구,중구,111121,.007,.9,.019,.068,121,86
2019-03-01 13,서울 중구,중구,111121,.007,.9,.038,.051,121,82
2019-03-01 14,서울 중구,중구,111121,.007,.9,.049,.046,130,87
2019-03-01 15,서울 중구,중구,111121,.007,.8,.076,.028,128,88
2019-03-01 16,서울 중구,중구,111121,.007,.8,.082,.025,111,73
2019-03-01 17,서울 중구,중구,111121,.006,.8,.081,.024,113,81
2019-03-01 18,서울 중구,중구,111121,.006,.8,.079,.027,107,70
2019-03-01 19,서울 중구,중구,111121,.006,.8,.061,.042,111,72
2019-03-01 20,서울 중구,중구,111121,.007,.9,.05,.05,119,75
2019-03-01 21,서울 중구,중구,111121,.007,1,.045,.052,133,84
2019-03-01 22,서울 중구,중구,111121,.005,1.1,.049,.044,136,88
2019-03-01 23,서울 중구,중구,111121,.005,.9,.034,.052,123,84
2019-03-01 24,서울 중구,중구,111121,.005,1,.017,.067,111,72
2019-03-02 01,서울 중구,중구,111121,.005,1,.018,.063,113,75
2019-03-02 02,서울 중구,중구,111121,.004,1.1,.009,.066,110,74
2019-03-02 03,서울 중구,중구,111121,.004,1.2,.006,.073,113,77
2019-03-02 04,서울 중구,중구,111121,.004,1.2,.003,.077,125,85
2019-03-02 05,서울 중구,중구,111121,.004,1.2,.004,.07,128,87
2019-03-02 06,서울 중구,중구,111121,.004,1.1,.004,.068,113,77
2019-03-02 07,서울 중구,중구,111121,.004,1.2,.002,.069,111,78
2019-03-02 08,서울 중구,중구,111121,.004,1.2,.003,.068,109,77
2019-03-02 09,서울 중구,중구,111121,.005,1.2,.007,.068,121,82
2019-03-02 10,서울 중구,중구,111121,.005,1,.02,.058,120,82
2019-03-02 11,서울 중구,중구,111121,.005,.9,.031,.052,117,80
2019-03-02 12,서울 중구,중구,111121,.006,.8,.049,.041,110,73
2019-03-02 13,서울 중구,중구,111121,.006,.8,.052,.045,105,72
2019-03-02 14,서울 중구,중구,111121,.005,.6,.06,.039,94,66
2019-03-02 15,서울 중구,중구,111121,.004,.7,.06,.037,94,66
2019-03-02 16,서울 중구,중구,111121,.005,.7,.049,.048,93,65
2019-03-02 17,서울 중구,중구,111121,.005,.7,.048,.049,97,69
2019-03-02 18,서울 중구,중구,111121,.005,.7,.044,.054,98,68
2019-03-02 19,서울 중구,중구,111121,.006,.8,.05,.051,112,78
2019-03-02 20,서울 중구,중구,111121,.005,.9,.04,.06,120,82
2019-03-02 21,서울 중구,중구,111121,.005,.8,.049,.046,116,82
2019-03-02 22,서울 중구,중구,111121,.004,.9,.015,.08,98,70
2019-03-02 23,서울 중구,중구,111121,.004,1.1,.003,.093,101,73
2019-03-02 24,서울 중구,중구,111121,.004,1.1,.002,.09,99,69
2019-03-03 01,서울 중구,중구,111121,.004,1.3,.002,.089,101,73
2019-03-03 02,서울 중구,중구,111121,.004,1.3,.002,.082,97,70
2019-03-03 03,서울 중구,중구,111121,.004,1.1,.002,.075,98,72
2019-03-03 04,서울 중구,중구,111121,.004,1.1,.002,.078,97,69
2019-03-03 05,서울 중구,중구,111121,.004,1.1,.002,.079,96,72
2019-03-03 06,서울 중구,중구,111121,.004,1.1,.002,.077,92,68
2019-03-03 07,서울 중구,중구,111121,.004,1.1,.002,.073,93,71
2019-03-03 08,서울 중구,중구,111121,.004,1,.003,.068,88,62
2019-03-03 09,서울 중구,중구,111121,.004,.9,.012,.059,92,64
2019-03-03 10,서울 중구,중구,111121,.005,.8,.022,.052,89,60
2019-03-03 11,서울 중구,중구,111121,.005,.8,.037,.043,84,58
2019-03-03 12,서울 중구,중구,111121,.005,.7,.048,.035,71,45
2019-03-03 13,서울 중구,중구,111121,.004,.6,.054,.034,69,43
2019-03-03 14,서울 중구,중구,111121,.004,.6,.058,.031,65,41
2019-03-03 15,서울 중구,중구,111121,.004,.6,.06,.029,63,40
2019-03-03 16,서울 중구,중구,111121,.005,.6,.068,.026,67,41
2019-03-03 17,서울 중구,중구,111121,.005,.6,.078,.021,86,52
2019-03-03 18,서울 중구,중구,111121,.005,.7,.076,.022,102,64
2019-03-03 19,서울 중구,중구,111121,.005,.8,.066,.03,121,80
2019-03-03 20,서울 중구,중구,111121,.006,.8,.063,.032,134,89
2019-03-03 21,서울 중구,중구,111121,.005,.9,.057,.039,144,102
2019-03-03 22,서울 중구,중구,111121,.005,.9,.065,.031,156,104
2019-03-03 23,서울 중구,중구,111121,.005,.9,.064,.034,163,114
2019-03-03 24,서울 중구,중구,111121,.005,.9,.046,.047,165,113
2019-03-04 01,서울 중구,중구,111121,.005,1,.037,.051,165,118
2019-03-04 02,서울 중구,중구,111121,.004,1,.038,.047,166,117
2019-03-04 03,서울 중구,중구,111121,.004,1,.04,.04,170,119
2019-03-04 04,서울 중구,중구,111121,.004,1,.041,.036,172,121
2019-03-04 05,서울 중구,중구,111121,.004,1,.036,.039,175,124
2019-03-04 06,서울 중구,중구,111121,.004,1.1,.01,.065,174,123
2019-03-04 07,서울 중구,중구,111121,.004,1.2,.003,.072,176,124
2019-03-04 08,서울 중구,중구,111121,.004,1.4,.003,.078,177,123
2019-03-04 09,서울 중구,중구,111121,.005,1.4,.008,.079,175,122
2019-03-04 10,서울 중구,중구,111121,.006,1.2,.023,.062,158,106
2019-03-04 11,서울 중구,중구,111121,.005,.8,.026,.057,130,83
2019-03-04 12,서울 중구,중구,111121,.005,.9,.033,.054,92,58
2019-03-04 13,서울 중구,중구,111121,.005,.8,.039,.05,97,65
2019-03-04 14,서울 중구,중구,111121,.004,.8,.038,.054,100,67
2019-03-04 15,서울 중구,중구,111121,.005,.6,.054,.039,111,76
2019-03-04 16,서울 중구,중구,111121,.005,.6,.073,.028,92,57
2019-03-04 17,서울 중구,중구,111121,.005,.6,.077,.025,103,66
2019-03-04 18,서울 중구,중구,111121,.005,.7,.071,.03,101,64
2019-03-04 19,서울 중구,중구,111121,.006,.9,.068,.044,149,97
2019-03-04 20,서울 중구,중구,111121,.005,1,.06,.046,167,116
2019-03-04 21,서울 중구,중구,111121,.005,1.1,.047,.052,171,117
2019-03-04 22,서울 중구,중구,111121,.005,1.1,.017,.075,183,120
2019-03-04 23,서울 중구,중구,111121,.005,1,.026,.058,193,136
2019-03-04 24,서울 중구,중구,111121,.004,1,.043,.04,208,148
2019-03-05 01,서울 중구,중구,111121,.004,.9,.047,.027,211,149
2019-03-05 02,서울 중구,중구,111121,.004,1,.047,.024,197,134
2019-03-05 03,서울 중구,중구,111121,.004,1,.049,.021,195,139
2019-03-05 04,서울 중구,중구,111121,.004,1,.049,.019,191,133
2019-03-05 05,서울 중구,중구,111121,.004,.9,.047,.02,187,133
2019-03-05 06,서울 중구,중구,111121,.004,.8,.045,.021,172,126
2019-03-05 07,서울 중구,중구,111121,.004,.9,.04,.026,170,124
2019-03-05 08,서울 중구,중구,111121,.004,1,.025,.045,175,123
2019-03-05 09,서울 중구,중구,111121,.004,.9,.023,.045,180,129
2019-03-05 10,서울 중구,중구,111121,.005,1.2,.026,.048,182,128
2019-03-05 11,서울 중구,중구,111121,.005,1,.033,.044,191,133
2019-03-05 12,서울 중구,중구,111121,.005,1,.037,.046,188,133
2019-03-05 13,서울 중구,중구,111121,.006,1,.046,.043,186,135
2019-03-05 14,서울 중구,중구,111121,.006,.9,.049,.045,171,125
2019-03-05 15,서울 중구,중구,111121,.006,.8,.056,.042,166,118
2019-03-05 16,서울 중구,중구,111121,.006,.8,.06,.044,167,112
2019-03-05 17,서울 중구,중구,111121,.006,.8,.058,.043,174,117
2019-03-05 18,서울 중구,중구,111121,.006,.8,.053,.04,163,111
2019-03-05 19,서울 중구,중구,111121,.006,.8,.05,.041,153,106
2019-03-05 20,서울 중구,중구,111121,.006,.8,.046,.045,143,98
2019-03-05 21,서울 중구,중구,111121,.006,.8,.039,.046,147,102
2019-03-05 22,서울 중구,중구,111121,.005,.8,.025,.054,146,101
2019-03-05 23,서울 중구,중구,111121,.006,.9,.021,.054,155,107
2019-03-05 24,서울 중구,중구,111121,.005,1,.005,.073,156,109
2019-03-06 01,서울 중구,중구,111121,.007,.9,.008,.073,153,110
2019-03-06 02,서울 중구,중구,111121,.006,.9,.019,.058,139,99
2019-03-06 03,서울 중구,중구,111121,.005,.8,.033,.045,125,87
2019-03-06 04,서울 중구,중구,111121,.006,.7,.039,.042,114,76
2019-03-06 05,서울 중구,중구,111121,.006,.8,.038,.043,121,84
2019-03-06 06,서울 중구,중구,111121,.006,.7,.034,.051,132,89
2019-03-06 07,서울 중구,중구,111121,.006,.8,.025,.056,142,100
2019-03-06 08,서울 중구,중구,111121,.007,1,.006,.076,152,104
2019-03-06 09,서울 중구,중구,111121,.006,1.1,.007,.083,156,110
2019-03-06 10,서울 중구,중구,111121,.007,.9,.028,.067,165,115
2019-03-06 11,서울 중구,중구,111121,.007,.9,.034,.06,167,116
2019-03-06 12,서울 중구,중구,111121,.007,.9,.028,.071,170,115
2019-03-06 13,서울 중구,중구,111121,.007,.8,.049,.05,167,113
2019-03-06 14,서울 중구,중구,111121,.006,.8,.058,.035,152,100
2019-03-06 15,서울 중구,중구,111121,.005,.7,.059,.031,148,101
2019-03-06 16,서울 중구,중구,111121,.005,.6,.061,.027,121,80
2019-03-06 17,서울 중구,중구,111121,.004,.5,.066,.018,88,61
2019-03-06 18,서울 중구,중구,111121,.004,.6,.06,.021,82,56
2019-03-06 19,서울 중구,중구,111121,.003,.7,.05,.031,96,62
2019-03-06 20,서울 중구,중구,111121,.003,.7,.033,.043,99,67
2019-03-06 21,서울 중구,중구,111121,.003,.8,.031,.042,110,74
2019-03-06 22,서울 중구,중구,111121,.004,.9,.03,.042,110,76
2019-03-06 23,서울 중구,중구,111121,.004,1,.027,.044,113,78
2019-03-06 24,서울 중구,중구,111121,.004,1,.033,.037,107,77
2019-03-07 01,서울 중구,중구,111121,.004,.9,.039,.03,109,77
2019-03-07 02,서울 중구,중구,111121,.004,.9,.034,.031,101,72
2019-03-07 03,서울 중구,중구,111121,.004,.8,.038,.025,99,73
2019-03-07 04,서울 중구,중구,111121,.003,.7,.041,.022,74,54
2019-03-07 05,서울 중구,중구,111121,.003,.6,.044,.021,46,33
2019-03-07 06,서울 중구,중구,111121,.003,.6,.039,.026,29,24
2019-03-07 07,서울 중구,중구,111121,.003,.7,.02,.045,25,18
2019-03-07 08,서울 중구,중구,111121,.003,.9,.006,.062,27,20
2019-03-07 09,서울 중구,중구,111121,.003,1,.008,.059,23,17
2019-03-07 10,서울 중구,중구,111121,.003,.7,.03,.037,24,14
2019-03-07 11,서울 중구,중구,111121,.003,.6,.043,.027,42,32
2019-03-07 12,서울 중구,중구,111121,.003,.5,.05,.019,45,36
2019-03-07 13,서울 중구,중구,111121,.003,.5,.057,.017,44,36
2019-03-07 14,서울 중구,중구,111121,.003,.5,.064,.013,51,39
2019-03-07 15,서울 중구,중구,111121,.003,.5,.058,.018,58,40
2019-03-07 16,서울 중구,중구,111121,.003,.5,.06,.017,56,38
2019-03-07 17,서울 중구,중구,111121,.003,.4,.059,.017,51,34
2019-03-07 18,서울 중구,중구,111121,.003,.5,.051,.024,53,33
2019-03-07 19,서울 중구,중구,111121,.003,.5,.037,.035,52,30
2019-03-07 20,서울 중구,중구,111121,.003,.4,.032,.037,47,25
2019-03-07 21,서울 중구,중구,111121,.003,.4,.028,.038,46,21
2019-03-07 22,서울 중구,중구,111121,.003,.5,.029,.035,48,24
2019-03-07 23,서울 중구,중구,111121,.004,.5,.033,.03,52,24
2019-03-07 24,서울 중구,중구,111121,.003,.5,.024,.038,50,24
2019-03-08 01,서울 중구,중구,111121,.003,.5,.022,.038,52,23
2019-03-08 02,서울 중구,중구,111121,.003,.6,.013,.046,49,24
2019-03-08 03,서울 중구,중구,111121,.004,.5,.028,.03,46,23
2019-03-08 04,서울 중구,중구,111121,.003,.4,.032,.026,38,19
2019-03-08 05,서울 중구,중구,111121,.003,.4,.03,.028,38,20
2019-03-08 06,서울 중구,중구,111121,.003,.5,.019,.036,35,19
2019-03-08 07,서울 중구,중구,111121,.003,.6,.002,.054,38,20
2019-03-08 08,서울 중구,중구,111121,.003,.8,.002,.058,43,22
2019-03-08 09,서울 중구,중구,111121,.004,.8,.004,.061,50,28
2019-03-08 10,서울 중구,중구,111121,.004,.9,.008,.057,52,29
2019-03-08 11,서울 중구,중구,111121,.004,.7,.018,.048,53,29
2019-03-08 12,서울 중구,중구,111121,.004,.6,.022,.047,49,28
2019-03-08 13,서울 중구,중구,111121,.004,.5,.03,.04,51,30
2019-03-08 14,서울 중구,중구,111121,.004,.5,.042,.036,49,30
2019-03-08 15,서울 중구,중구,111121,.004,.4,.046,.031,52,32
2019-03-08 16,서울 중구,중구,111121,.006,.4,.059,.031,42,24
2019-03-08 17,서울 중구,중구,111121,.006,.5,.048,.031,41,22
2019-03-08 18,서울 중구,중구,111121,.005,.5,.044,.033,35,18
2019-03-08 19,서울 중구,중구,111121,.004,.5,.032,.043,39,22
2019-03-08 20,서울 중구,중구,111121,.004,.5,.025,.048,37,21
2019-03-08 21,서울 중구,중구,111121,.004,.5,.018,.052,36,22
2019-03-08 22,서울 중구,중구,111121,.004,.5,.011,.058,34,20
2019-03-08 23,서울 중구,중구,111121,.003,.6,.007,.063,32,20
2019-03-08 24,서울 중구,중구,111121,.004,.6,.003,.068,26,16
2019-03-09 01,서울 중구,중구,111121,.004,.7,.002,.069,29,18
2019-03-09 02,서울 중구,중구,111121,.004,.8,.002,.072,30,19
2019-03-09 03,서울 중구,중구,111121,.004,.7,.002,.065,33,22
2019-03-09 04,서울 중구,중구,111121,.004,.7,.002,.064,36,25
2019-03-09 05,서울 중구,중구,111121,.004,.7,.002,.062,34,24
2019-03-09 06,서울 중구,중구,111121,.004,.7,.002,.061,28,19
2019-03-09 07,서울 중구,중구,111121,.004,.8,.002,.065,31,22
2019-03-09 08,서울 중구,중구,111121,.005,.9,.002,.068,34,20
2019-03-09 09,서울 중구,중구,111121,.005,.8,.005,.066,40,25
2019-03-09 10,서울 중구,중구,111121,.006,.8,.008,.062,44,26
2019-03-09 11,서울 중구,중구,111121,.007,.9,.011,.064,48,30
2019-03-09 12,서울 중구,중구,111121,.007,.7,.016,.058,46,30
2019-03-09 13,서울 중구,중구,111121,.006,.7,.015,.057,47,33
2019-03-09 14,서울 중구,중구,111121,.007,.6,.017,.058,49,31
2019-03-09 15,서울 중구,중구,111121,.006,.6,.026,.048,51,29
2019-03-09 16,서울 중구,중구,111121,.007,.6,.036,.045,51,32
2019-03-09 17,서울 중구,중구,111121,.008,.5,.039,.039,47,27
2019-03-09 18,서울 중구,중구,111121,.007,.4,.04,.03,28,15
2019-03-09 19,서울 중구,중구,111121,.005,.4,.036,.035,23,12
2019-03-09 20,서울 중구,중구,111121,.006,.5,.017,.057,38,25
2019-03-09 21,서울 중구,중구,111121,.006,.6,.014,.058,47,29
2019-03-09 22,서울 중구,중구,111121,.006,.7,.003,.072,50,31
2019-03-09 23,서울 중구,중구,111121,.006,.7,.003,.069,58,36
2019-03-09 24,서울 중구,중구,111121,.006,.7,.005,.066,54,36
2019-03-10 01,서울 중구,중구,111121,.005,.7,.007,.063,52,35
2019-03-10 02,서울 중구,중구,111121,.005,.7,.009,.057,44,32
2019-03-10 03,서울 중구,중구,111121,.005,.6,.019,.045,43,31
2019-03-10 04,서울 중구,중구,111121,.005,.6,.019,.043,46,34
2019-03-10 05,서울 중구,중구,111121,.005,.7,.011,.05,52,36
2019-03-10 06,서울 중구,중구,111121,.005,.6,.014,.046,48,37
2019-03-10 07,서울 중구,중구,111121,.005,.6,.009,.051,47,38
2019-03-10 08,서울 중구,중구,111121,.004,.6,.011,.051,45,34
2019-03-10 09,서울 중구,중구,111121,.004,.6,.013,.051,47,31
2019-03-10 10,서울 중구,중구,111121,.004,.6,.016,.05,43,30
2019-03-10 11,서울 중구,중구,111121,.004,.5,.025,.041,43,28
2019-03-10 12,서울 중구,중구,111121,.004,.5,.028,.04,36,25
2019-03-10 13,서울 중구,중구,111121,.003,.4,.038,.027,31,23
2019-03-10 14,서울 중구,중구,111121,.003,.4,.043,.024,30,22
2019-03-10 15,서울 중구,중구,111121,.003,.4,.051,.018,31,23
2019-03-10 16,서울 중구,중구,111121,.004,.4,.054,.019,33,22
2019-03-10 17,서울 중구,중구,111121,.004,.4,.059,.015,35,21
2019-03-10 18,서울 중구,중구,111121,.004,.4,.063,.011,33,21
2019-03-10 19,서울 중구,중구,111121,.004,.4,.059,.013,44,24
2019-03-10 20,서울 중구,중구,111121,.004,.5,.045,.022,58,28
2019-03-10 21,서울 중구,중구,111121,.003,.5,.041,.025,63,31
2019-03-10 22,서울 중구,중구,111121,.004,.5,.039,.026,62,31
2019-03-10 23,서울 중구,중구,111121,.003,.6,.019,.045,62,32
2019-03-10 24,서울 중구,중구,111121,.003,.6,.02,.044,57,29
2019-03-11 01,서울 중구,중구,111121,.003,.6,.014,.047,55,25
2019-03-11 02,서울 중구,중구,111121,.003,.6,.012,.049,54,27
2019-03-11 03,서울 중구,중구,111121,.003,.6,.014,.046,55,30
2019-03-11 04,서울 중구,중구,111121,.003,.6,.02,.033,52,29
2019-03-11 05,서울 중구,중구,111121,.003,.6,.013,.04,51,29
2019-03-11 06,서울 중구,중구,111121,.003,.7,.005,.052,50,29
2019-03-11 07,서울 중구,중구,111121,.003,.8,.002,.059,53,31
2019-03-11 08,서울 중구,중구,111121,.003,.8,.004,.055,63,40
2019-03-11 09,서울 중구,중구,111121,.004,1,.004,.06,75,49
2019-03-11 10,서울 중구,중구,111121,.004,.9,.006,.06,77,52
2019-03-11 11,서울 중구,중구,111121,.005,.9,.007,.063,86,57
2019-03-11 12,서울 중구,중구,111121,.005,.7,.015,.054,93,60
2019-03-11 13,서울 중구,중구,111121,.006,.6,.028,.04,88,58
2019-03-11 14,서울 중구,중구,111121,.006,.5,.037,.03,56,33
2019-03-11 15,서울 중구,중구,111121,.005,.5,.036,.032,42,26
2019-03-11 16,서울 중구,중구,111121,.007,.6,.045,.035,47,31
2019-03-11 17,서울 중구,중구,111121,.007,.6,.044,.038,75,54
2019-03-11 18,서울 중구,중구,111121,.004,.5,.038,.031,59,41
2019-03-11 19,서울 중구,중구,111121,.004,.5,.025,.041,42,28
2019-03-11 20,서울 중구,중구,111121,.003,.5,.03,.033,53,37
2019-03-11 21,서울 중구,중구,111121,.003,.5,.028,.037,50,34
2019-03-11 22,서울 중구,중구,111121,.003,.6,.02,.041,60,43
2019-03-11 23,서울 중구,중구,111121,.003,.7,.028,.032,88,66
2019-03-11 24,서울 중구,중구,111121,.003,.7,.031,.028,95,70
2019-03-12 01,서울 중구,중구,111121,.003,.6,.029,.026,93,66
2019-03-12 02,서울 중구,중구,111121,.003,.7,.027,.026,89,67
2019-03-12 03,서울 중구,중구,111121,.003,.7,.028,.028,90,64
2019-03-12 04,서울 중구,중구,111121,.003,.7,.031,.028,80,61
2019-03-12 05,서울 중구,중구,111121,.003,.6,.048,.021,86,64
2019-03-12 06,서울 중구,중구,111121,.003,.6,.053,.023,75,56
2019-03-12 07,서울 중구,중구,111121,.003,.9,.044,.03,86,66
2019-03-12 08,서울 중구,중구,111121,.004,1,.022,.053,97,72
2019-03-12 09,서울 중구,중구,111121,.003,.9,.021,.051,106,76
2019-03-12 10,서울 중구,중구,111121,.004,.9,.017,.054,101,76
2019-03-12 11,서울 중구,중구,111121,.004,.9,.015,.055,108,78
2019-03-12 12,서울 중구,중구,111121,.004,.9,.018,.047,107,79
2019-03-12 13,서울 중구,중구,111121,.004,.8,.032,.035,115,85
2019-03-12 14,서울 중구,중구,111121,.004,.5,.043,.022,82,56
2019-03-12 15,서울 중구,중구,111121,.003,.4,.037,.021,60,26
2019-03-12 16,서울 중구,중구,111121,.003,.3,.036,.021,58,10
2019-03-12 17,서울 중구,중구,111121,.003,.3,.038,.018,49,5
2019-03-12 18,서울 중구,중구,111121,.003,.3,.039,.018,44,7
2019-03-12 19,서울 중구,중구,111121,.003,.3,.037,.02,47,11
2019-03-12 20,서울 중구,중구,111121,.003,.3,.032,.025,50,11
2019-03-12 21,서울 중구,중구,111121,.003,.3,.041,.015,57,11
2019-03-12 22,서울 중구,중구,111121,.003,.4,.037,.019,56,11
2019-03-12 23,서울 중구,중구,111121,.003,.4,.031,.023,50,11
2019-03-12 24,서울 중구,중구,111121,.003,.4,.029,.025,41,11
2019-03-13 01,서울 중구,중구,111121,.004,.4,.032,.022,38,11
2019-03-13 02,서울 중구,중구,111121,.003,.4,.03,.025,32,11
2019-03-13 03,서울 중구,중구,111121,.003,.4,.032,.021,31,11
2019-03-13 04,서울 중구,중구,111121,.003,.4,.037,.016,28,11
2019-03-13 05,서울 중구,중구,111121,.003,.3,.036,.017,27,10
2019-03-13 06,서울 중구,중구,111121,.003,.4,.02,.034,26,9
2019-03-13 07,서울 중구,중구,111121,.003,.4,.012,.044,25,9
2019-03-13 08,서울 중구,중구,111121,.003,.5,.007,.051,27,10
2019-03-13 09,서울 중구,중구,111121,.003,.5,.013,.044,29,9
2019-03-13 10,서울 중구,중구,111121,.003,.4,.024,.03,31,8
2019-03-13 11,서울 중구,중구,111121,.003,.3,.038,.016,37,6
2019-03-13 12,서울 중구,중구,111121,.003,.3,.042,.012,45,7
2019-03-13 13,서울 중구,중구,111121,.003,.3,.045,.011,46,9
2019-03-13 14,서울 중구,중구,111121,.003,.3,.045,.012,51,9
2019-03-13 15,서울 중구,중구,111121,.003,.3,.043,.015,52,9
2019-03-13 16,서울 중구,중구,111121,.003,.3,.043,.017,46,10
2019-03-13 17,서울 중구,중구,111121,.003,.3,.042,.017,47,16
2019-03-13 18,서울 중구,중구,111121,.003,.4,.036,.023,37,12
2019-03-13 19,서울 중구,중구,111121,.003,.4,.036,.024,36,13
2019-03-13 20,서울 중구,중구,111121,.003,.4,.032,.027,30,9
2019-03-13 21,서울 중구,중구,111121,.003,.4,.034,.024,30,9
2019-03-13 22,서울 중구,중구,111121,.003,.3,.033,.024,27,8
2019-03-13 23,서울 중구,중구,111121,.003,.3,.03,.026,28,8
2019-03-13 24,서울 중구,중구,111121,.002,.4,.029,.026,31,12
2019-03-14 01,서울 중구,중구,111121,.003,.4,.028,.024,42,21
2019-03-14 02,서울 중구,중구,111121,.003,.4,.029,.023,44,25
2019-03-14 03,서울 중구,중구,111121,.003,.4,.028,.024,41,21
2019-03-14 04,서울 중구,중구,111121,.003,.4,.029,.024,39,21
2019-03-14 05,서울 중구,중구,111121,.003,.5,.021,.031,41,21
2019-03-14 06,서울 중구,중구,111121,.003,.6,.003,.049,35,17
2019-03-14 07,서울 중구,중구,111121,.003,.6,.002,.055,36,17
2019-03-14 08,서울 중구,중구,111121,.003,.6,.003,.057,39,20
2019-03-14 09,서울 중구,중구,111121,.004,.8,.006,.059,43,22
2019-03-14 10,서울 중구,중구,111121,.004,.6,.015,.046,36,15
2019-03-14 11,서울 중구,중구,111121,.004,.5,.026,.034,28,12
2019-03-14 12,서울 중구,중구,111121,.004,.4,.03,.031,29,12
2019-03-14 13,서울 중구,중구,111121,.005,.5,.034,.03,32,16
2019-03-14 14,서울 중구,중구,111121,.004,.4,.037,.028,29,14
2019-03-14 15,서울 중구,중구,111121,.005,.5,.037,.029,31,15
2019-03-14 16,서울 중구,중구,111121,.005,.4,.039,.029,33,15
2019-03-14 17,서울 중구,중구,111121,.005,.5,.037,.033,40,19
