날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5
2018-05-01 01,서울 중구,중구,111121,.003,.5,.036,.02,70,34
2018-05-01 02,서울 중구,중구,111121,.003,.4,.04,.012,48,23
2018-05-01 03,서울 중구,중구,111121,.003,.5,.032,.016,53,32
2018-05-01 04,서울 중구,중구,111121,.003,.5,.027,.017,63,41
2018-05-01 05,서울 중구,중구,111121,.003,.6,.026,.017,65,44
2018-05-01 06,서울 중구,중구,111121,.003,.6,.021,.022,60,42
2018-05-01 07,서울 중구,중구,111121,.003,.6,.012,.031,73,54
2018-05-01 08,서울 중구,중구,111121,.003,.6,.017,.029,72,55
2018-05-01 09,서울 중구,중구,111121,.004,.6,.02,.032,70,56
2018-05-01 10,서울 중구,중구,111121,.003,.6,.035,.027,57,42
2018-05-01 11,서울 중구,중구,111121,.003,.5,.05,.02,44,35
2018-05-01 12,서울 중구,중구,111121,.003,.5,.044,.022,47,35
2018-05-01 13,서울 중구,중구,111121,.003,.5,.046,.017,58,40
2018-05-01 14,서울 중구,중구,111121,.003,.5,.057,.014,58,41
2018-05-01 15,서울 중구,중구,111121,.003,.5,.06,.013,57,43
2018-05-01 16,서울 중구,중구,111121,.003,.5,.063,.014,50,34
2018-05-01 17,서울 중구,중구,111121,.003,.5,.059,.017,52,36
2018-05-01 18,서울 중구,중구,111121,.003,.5,.056,.018,47,33
2018-05-01 19,서울 중구,중구,111121,.003,.5,.054,.019,48,36
2018-05-01 20,서울 중구,중구,111121,.003,.5,.051,.018,46,34
2018-05-01 21,서울 중구,중구,111121,.002,.5,.04,.025,46,34
2018-05-01 22,서울 중구,중구,111121,.003,.6,.023,.04,47,34
2018-05-01 23,서울 중구,중구,111121,.003,.7,.013,.052,54,39
2018-05-01 24,서울 중구,중구,111121,.003,.8,.005,.059,61,44
2018-05-02 01,서울 중구,중구,111121,.003,.8,.007,.052,75,54
2018-05-02 02,서울 중구,중구,111121,.003,.6,.021,.026,64,49
2018-05-02 03,서울 중구,중구,111121,.003,.6,.024,.018,68,50
2018-05-02 04,서울 중구,중구,111121,.003,.6,.016,.023,63,49
2018-05-02 05,서울 중구,중구,111121,.003,.6,.02,.021,69,53
2018-05-02 06,서울 중구,중구,111121,.003,.6,.014,.027,64,50
2018-05-02 07,서울 중구,중구,111121,.002,.6,.013,.031,69,55
2018-05-02 08,서울 중구,중구,111121,.003,.6,.013,.035,64,49
2018-05-02 09,서울 중구,중구,111121,.002,.6,.015,.039,56,44
2018-05-02 10,서울 중구,중구,111121,.003,.5,.019,.033,49,39
2018-05-02 11,서울 중구,중구,111121,.002,.6,.017,.037,44,36
2018-05-02 12,서울 중구,중구,111121,.002,.6,.016,.036,42,32
2018-05-02 13,서울 중구,중구,111121,.002,.7,.01,.041,42,33
2018-05-02 14,서울 중구,중구,111121,.003,.6,.015,.037,30,24
2018-05-02 15,서울 중구,중구,111121,.003,.6,.021,.04,36,32
2018-05-02 16,서울 중구,중구,111121,.003,.4,.038,.024,40,31
2018-05-02 17,서울 중구,중구,111121,.003,.6,.03,.031,24,17
2018-05-02 18,서울 중구,중구,111121,.002,.6,.023,.034,33,24
2018-05-02 19,서울 중구,중구,111121,.002,.5,.029,.025,28,17
2018-05-02 20,서울 중구,중구,111121,.002,.5,.041,.015,16,13
2018-05-02 21,서울 중구,중구,111121,.002,.4,.037,.018,9,9
2018-05-02 22,서울 중구,중구,111121,.002,.4,.034,.022,6,5
2018-05-02 23,서울 중구,중구,111121,.002,.4,.04,.015,7,4
2018-05-02 24,서울 중구,중구,111121,.002,.4,.046,.007,3,2
2018-05-03 01,서울 중구,중구,111121,.002,.4,.046,.007,3,1
2018-05-03 02,서울 중구,중구,111121,.002,.4,.04,.012,3,2
2018-05-03 03,서울 중구,중구,111121,.002,.4,.04,.012,4,2
2018-05-03 04,서울 중구,중구,111121,.002,.4,.035,.014,3,2
2018-05-03 05,서울 중구,중구,111121,.002,.4,.028,.019,4,2
2018-05-03 06,서울 중구,중구,111121,.002,.4,.029,.022,9,5
2018-05-03 07,서울 중구,중구,111121,.002,.5,.02,.035,24,12
2018-05-03 08,서울 중구,중구,111121,.003,.6,.011,.046,36,14
2018-05-03 09,서울 중구,중구,111121,.003,.5,.027,.029,47,14
2018-05-03 10,서울 중구,중구,111121,.002,.4,.044,.016,42,14
2018-05-03 11,서울 중구,중구,111121,.002,.4,.044,.017,35,16
2018-05-03 12,서울 중구,중구,111121,.002,.4,.041,.021,32,16
2018-05-03 13,서울 중구,중구,111121,.003,.4,.045,.017,37,17
2018-05-03 14,서울 중구,중구,111121,.002,.4,.043,.019,33,16
2018-05-03 15,서울 중구,중구,111121,.002,.4,.039,.018,26,14
2018-05-03 16,서울 중구,중구,111121,.002,.4,.043,.016,12,7
2018-05-03 17,서울 중구,중구,111121,.002,.4,.041,.018,15,11
2018-05-03 18,서울 중구,중구,111121,.002,.4,.042,.021,19,14
2018-05-03 19,서울 중구,중구,111121,.002,.3,.033,.032,26,17
2018-05-03 20,서울 중구,중구,111121,.002,.4,.033,.035,29,21
2018-05-03 21,서울 중구,중구,111121,.003,.4,.028,.038,30,23
2018-05-03 22,서울 중구,중구,111121,.003,.4,.016,.048,30,22
2018-05-03 23,서울 중구,중구,111121,.002,.5,.03,.038,34,20
2018-05-03 24,서울 중구,중구,111121,.002,.5,.025,.045,33,21
2018-05-04 01,서울 중구,중구,111121,.003,.5,.037,.032,36,20
2018-05-04 02,서울 중구,중구,111121,.003,.5,.037,.028,35,19
2018-05-04 03,서울 중구,중구,111121,.003,.5,.033,.028,35,20
2018-05-04 04,서울 중구,중구,111121,.003,.5,.029,.027,37,19
2018-05-04 05,서울 중구,중구,111121,.002,.4,.033,.021,35,17
2018-05-04 06,서울 중구,중구,111121,.002,.4,.028,.028,31,14
2018-05-04 07,서울 중구,중구,111121,.003,.4,.024,.038,27,14
2018-05-04 08,서울 중구,중구,111121,.003,.5,.027,.038,29,12
2018-05-04 09,서울 중구,중구,111121,.004,.5,.038,.028,32,11
2018-05-04 10,서울 중구,중구,111121,.004,.4,.044,.023,31,10
2018-05-04 11,서울 중구,중구,111121,.004,.4,.049,.022,34,15
2018-05-04 12,서울 중구,중구,111121,.004,.4,.056,.019,35,14
2018-05-04 13,서울 중구,중구,111121,.004,.4,.059,.018,36,14
2018-05-04 14,서울 중구,중구,111121,.003,.4,.061,.017,37,14
2018-05-04 15,서울 중구,중구,111121,.004,.4,.058,.023,36,12
2018-05-04 16,서울 중구,중구,111121,.003,.4,.061,.023,39,14
2018-05-04 17,서울 중구,중구,111121,.003,.3,.061,.02,39,13
2018-05-04 18,서울 중구,중구,111121,.003,.3,.059,.02,35,13
2018-05-04 19,서울 중구,중구,111121,.004,.4,.046,.036,36,14
2018-05-04 20,서울 중구,중구,111121,.004,.4,.043,.04,38,16
2018-05-04 21,서울 중구,중구,111121,.003,.4,.035,.047,32,15
2018-05-04 22,서울 중구,중구,111121,.004,.5,.035,.043,33,15
2018-05-04 23,서울 중구,중구,111121,.004,.5,.044,.033,36,18
2018-05-04 24,서울 중구,중구,111121,.004,.4,.046,.03,34,15
2018-05-05 01,서울 중구,중구,111121,.004,.4,.043,.03,29,13
2018-05-05 02,서울 중구,중구,111121,.005,.4,.055,.019,28,14
2018-05-05 03,서울 중구,중구,111121,.004,.4,.058,.015,26,14
2018-05-05 04,서울 중구,중구,111121,.004,.4,.053,.016,27,13
2018-05-05 05,서울 중구,중구,111121,.004,.4,.052,.017,26,12
2018-05-05 06,서울 중구,중구,111121,.004,.4,.052,.017,26,12
2018-05-05 07,서울 중구,중구,111121,.004,.4,.046,.023,28,13
2018-05-05 08,서울 중구,중구,111121,.003,.4,.042,.029,28,12
