날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5
2020-03-01 01,서울 중구,중구,111121,.003,.6,.003,.044,30,28
2020-03-01 02,서울 중구,중구,111121,.003,.7,.003,.041,32,27
2020-03-01 03,서울 중구,중구,111121,.003,.7,.003,.039,33,29
2020-03-01 04,서울 중구,중구,111121,.003,.7,.002,.036,28,25
2020-03-01 05,서울 중구,중구,111121,.002,.8,.002,.038,26,24
2020-03-01 06,서울 중구,중구,111121,.003,.7,.002,.037,26,22
2020-03-01 07,서울 중구,중구,111121,.003,.7,.002,.037,26,23
2020-03-01 08,서울 중구,중구,111121,.003,.7,.002,.037,29,23
2020-03-01 09,서울 중구,중구,111121,.003,.8,.003,.037,34,25
2020-03-01 10,서울 중구,중구,111121,.003,.8,.005,.038,33,28
2020-03-01 11,서울 중구,중구,111121,.003,.8,.007,.037,45,39
2020-03-01 12,서울 중구,중구,111121,.003,.6,.011,.031,57,50
2020-03-01 13,서울 중구,중구,111121,.003,.6,.013,.031,62,56
2020-03-01 14,서울 중구,중구,111121,.003,.7,.009,.037,67,60
2020-03-01 15,서울 중구,중구,111121,.003,.6,.019,.026,68,58
2020-03-01 16,서울 중구,중구,111121,.003,.6,.024,.024,55,47
2020-03-01 17,서울 중구,중구,111121,.005,.7,.027,.025,61,52
2020-03-01 18,서울 중구,중구,111121,.004,.6,.024,.027,64,53
2020-03-01 19,서울 중구,중구,111121,.004,.6,.021,.026,54,45
2020-03-01 20,서울 중구,중구,111121,.003,.5,.029,.018,41,35
2020-03-01 21,서울 중구,중구,111121,.003,.5,.028,.018,42,35
2020-03-01 22,서울 중구,중구,111121,.002,.5,.025,.018,42,35
2020-03-01 23,서울 중구,중구,111121,.003,.5,.03,.013,37,31
2020-03-01 24,서울 중구,중구,111121,.002,.5,.034,.011,32,28
2020-03-02 01,서울 중구,중구,111121,.002,.6,.035,.011,33,27
2020-03-02 02,서울 중구,중구,111121,.003,.6,.035,.01,32,28
2020-03-02 03,서울 중구,중구,111121,.002,.6,.03,.013,34,30
2020-03-02 04,서울 중구,중구,111121,.003,.6,.03,.013,38,33
2020-03-02 05,서울 중구,중구,111121,.003,.5,.031,.012,44,37
2020-03-02 06,서울 중구,중구,111121,.003,.5,.029,.013,45,39
2020-03-02 07,서울 중구,중구,111121,.003,.5,.025,.017,44,39
2020-03-02 08,서울 중구,중구,111121,.003,.5,.018,.024,42,37
2020-03-02 09,서울 중구,중구,111121,.003,.5,.021,.022,43,36
2020-03-02 10,서울 중구,중구,111121,.003,.5,.029,.014,37,31
2020-03-02 11,서울 중구,중구,111121,.003,.4,.033,.011,40,31
2020-03-02 12,서울 중구,중구,111121,.003,.4,.035,.011,33,29
2020-03-02 13,서울 중구,중구,111121,.003,.4,.039,.01,36,29
2020-03-02 14,서울 중구,중구,111121,.003,.4,.041,.009,35,31
2020-03-02 15,서울 중구,중구,111121,.003,.4,.039,.013,39,34
2020-03-02 16,서울 중구,중구,111121,.003,.4,.04,.013,35,29
2020-03-02 17,서울 중구,중구,111121,.003,.4,.039,.013,36,29
2020-03-02 18,서울 중구,중구,111121,.003,.4,.038,.014,34,29
2020-03-02 19,서울 중구,중구,111121,.003,.4,.03,.02,33,28
2020-03-02 20,서울 중구,중구,111121,.003,.5,.022,.028,33,27
2020-03-02 21,서울 중구,중구,111121,.002,.5,.014,.036,33,26
2020-03-02 22,서울 중구,중구,111121,.003,.5,.014,.035,30,25
2020-03-02 23,서울 중구,중구,111121,.002,.5,.017,.032,30,27
2020-03-02 24,서울 중구,중구,111121,.003,.5,.015,.032,29,26
2020-03-03 01,서울 중구,중구,111121,.003,.6,.003,.043,31,30
2020-03-03 02,서울 중구,중구,111121,.003,.6,.002,.042,32,28
2020-03-03 03,서울 중구,중구,111121,.003,.6,.003,.041,35,30
2020-03-03 04,서울 중구,중구,111121,.003,.7,.002,.042,35,30
2020-03-03 05,서울 중구,중구,111121,.003,.6,.004,.038,40,35
2020-03-03 06,서울 중구,중구,111121,.003,.6,.008,.032,41,36
2020-03-03 07,서울 중구,중구,111121,.002,.6,.005,.035,,39
2020-03-03 08,서울 중구,중구,111121,.002,.6,.005,.036,38,34
2020-03-03 09,서울 중구,중구,111121,.003,.7,.007,.036,37,32
2020-03-03 10,서울 중구,중구,111121,.003,.7,.009,.035,41,35
2020-03-03 11,서울 중구,중구,111121,.003,.7,.011,.037,47,39
2020-03-03 12,서울 중구,중구,111121,.003,.7,.014,.036,48,40
2020-03-03 13,서울 중구,중구,111121,.003,.6,.02,.032,46,39
2020-03-03 14,서울 중구,중구,111121,.003,.6,.031,.026,44,35
2020-03-03 15,서울 중구,중구,111121,.003,.5,.031,.028,44,35
2020-03-03 16,서울 중구,중구,111121,.004,.5,.035,.024,47,38
2020-03-03 17,서울 중구,중구,111121,.004,.5,.034,.028,52,41
2020-03-03 18,서울 중구,중구,111121,.005,.5,.032,.035,59,51
2020-03-03 19,서울 중구,중구,111121,.004,.5,.036,.03,67,60
2020-03-03 20,서울 중구,중구,111121,.003,.5,.031,.029,59,50
2020-03-03 21,서울 중구,중구,111121,.003,.5,.024,.032,50,45
2020-03-03 22,서울 중구,중구,111121,.002,.4,.034,.016,36,33
2020-03-03 23,서울 중구,중구,111121,.003,.4,.032,.016,28,22
2020-03-03 24,서울 중구,중구,111121,.003,.4,.033,.016,24,20
2020-03-04 01,서울 중구,중구,111121,.003,.4,.037,.013,24,21
2020-03-04 02,서울 중구,중구,111121,.003,.3,.036,.014,23,20
2020-03-04 03,서울 중구,중구,111121,.003,.4,.032,.017,25,22
2020-03-04 04,서울 중구,중구,111121,.003,.3,.034,.014,24,20
2020-03-04 05,서울 중구,중구,111121,.003,.5,.034,.012,28,25
2020-03-04 06,서울 중구,중구,111121,.002,.7,.03,.016,40,30
2020-03-04 07,서울 중구,중구,111121,.003,.7,.025,.021,42,32
2020-03-04 08,서울 중구,중구,111121,.002,.6,.024,.025,42,33
2020-03-04 09,서울 중구,중구,111121,.002,.6,.026,.021,41,35
2020-03-04 10,서울 중구,중구,111121,.003,.5,.03,.015,40,35
2020-03-04 11,서울 중구,중구,111121,.003,.5,.033,.014,45,42
2020-03-04 12,서울 중구,중구,111121,.003,.5,.041,.011,57,48
2020-03-04 13,서울 중구,중구,111121,.003,.5,.04,.011,61,53
2020-03-04 14,서울 중구,중구,111121,.003,.4,.04,.013,53,48
2020-03-04 15,서울 중구,중구,111121,.003,.5,.039,.013,50,48
2020-03-04 16,서울 중구,중구,111121,.003,.5,.041,.012,56,50
2020-03-04 17,서울 중구,중구,111121,.003,.6,.04,.012,58,52
2020-03-04 18,서울 중구,중구,111121,.003,.6,.041,.011,55,52
2020-03-04 19,서울 중구,중구,111121,.003,.6,.038,.016,56,55
2020-03-04 20,서울 중구,중구,111121,.003,.5,.038,.013,51,49
2020-03-04 21,서울 중구,중구,111121,.003,.5,.04,.012,45,43
2020-03-04 22,서울 중구,중구,111121,.003,.5,.037,.014,43,41
2020-03-04 23,서울 중구,중구,111121,.003,.5,.037,.013,45,44
2020-03-04 24,서울 중구,중구,111121,.003,.5,.032,.015,44,42
2020-03-05 01,서울 중구,중구,111121,.002,.5,.032,.015,45,42
2020-03-05 02,서울 중구,중구,111121,.002,.5,.031,.013,44,42
2020-03-05 03,서울 중구,중구,111121,.003,.5,.033,.01,46,41
2020-03-05 04,서울 중구,중구,111121,.002,.4,.033,.009,41,39
2020-03-05 05,서울 중구,중구,111121,.002,.5,.031,.012,,39
2020-03-05 06,서울 중구,중구,111121,.003,.5,.03,.012,38,36
2020-03-05 07,서울 중구,중구,111121,.002,.5,.028,.013,38,36
2020-03-05 08,서울 중구,중구,111121,.003,.4,.025,.017,36,33
