날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5
2020-04-01 01,서울 중구,중구,111121,.003,.4,.033,.016,44,24
2020-04-01 02,서울 중구,중구,111121,.003,.5,.035,.014,47,26
2020-04-01 03,서울 중구,중구,111121,.004,.5,.048,.011,56,34
2020-04-01 04,서울 중구,중구,111121,.004,.5,.045,.012,71,45
2020-04-01 05,서울 중구,중구,111121,.004,.5,.045,.013,70,43
2020-04-01 06,서울 중구,중구,111121,.004,.5,.038,.019,72,44
2020-04-01 07,서울 중구,중구,111121,.004,.5,.037,.023,73,47
2020-04-01 08,서울 중구,중구,111121,.004,.6,.033,.027,70,43
2020-04-01 09,서울 중구,중구,111121,.005,.5,.037,.026,71,44
2020-04-01 10,서울 중구,중구,111121,.004,.5,.038,.024,69,41
2020-04-01 11,서울 중구,중구,111121,.005,.5,.042,.021,69,43
2020-04-01 12,서울 중구,중구,111121,.004,.5,.046,.018,71,44
2020-04-01 13,서울 중구,중구,111121,.004,.5,.046,.019,76,48
2020-04-01 14,서울 중구,중구,111121,.004,.5,.054,.013,81,52
2020-04-01 15,서울 중구,중구,111121,.003,.5,.045,.013,82,50
2020-04-01 16,서울 중구,중구,111121,.003,.3,.038,.012,72,27
2020-04-01 17,서울 중구,중구,111121,.003,.3,.037,.012,67,18
2020-04-01 18,서울 중구,중구,111121,.003,.3,.039,.009,55,13
2020-04-01 19,서울 중구,중구,111121,.003,.3,.037,.012,51,13
2020-04-01 20,서울 중구,중구,111121,.002,.4,.035,.013,52,20
2020-04-01 21,서울 중구,중구,111121,.002,.4,.034,.013,39,25
2020-04-01 22,서울 중구,중구,111121,.002,.4,.034,.012,26,19
2020-04-01 23,서울 중구,중구,111121,.002,.3,.034,.012,21,19
2020-04-01 24,서울 중구,중구,111121,.002,.4,.032,.015,21,19
2020-04-02 01,서울 중구,중구,111121,.002,.4,.029,.016,21,21
2020-04-02 02,서울 중구,중구,111121,.002,.4,.028,.016,20,18
2020-04-02 03,서울 중구,중구,111121,.002,.4,.028,.015,21,18
2020-04-02 04,서울 중구,중구,111121,.002,.4,.027,.016,19,18
2020-04-02 05,서울 중구,중구,111121,.002,.4,.021,.022,19,19
2020-04-02 06,서울 중구,중구,111121,.002,.4,.013,.029,27,23
2020-04-02 07,서울 중구,중구,111121,.002,.5,.008,.037,28,28
2020-04-02 08,서울 중구,중구,111121,.002,.5,.008,.04,35,27
2020-04-02 09,서울 중구,중구,111121,.002,.6,.011,.041,40,32
2020-04-02 10,서울 중구,중구,111121,.002,.6,.016,.036,34,26
2020-04-02 11,서울 중구,중구,111121,.003,.6,.021,.034,39,33
2020-04-02 12,서울 중구,중구,111121,.003,.5,.024,.034,47,37
2020-04-02 13,서울 중구,중구,111121,.004,.5,.029,.035,55,45
2020-04-02 14,서울 중구,중구,111121,.004,.4,.038,.024,65,47
2020-04-02 15,서울 중구,중구,111121,.003,.4,.042,.017,50,39
2020-04-02 16,서울 중구,중구,111121,.003,.4,.041,.015,37,28
2020-04-02 17,서울 중구,중구,111121,.003,.4,.041,.017,38,29
2020-04-02 18,서울 중구,중구,111121,.003,.4,.041,.021,40,30
2020-04-02 19,서울 중구,중구,111121,.003,.4,.034,.026,39,30
2020-04-02 20,서울 중구,중구,111121,.004,.5,.024,.036,41,28
2020-04-02 21,서울 중구,중구,111121,.003,.5,.024,.031,38,28
2020-04-02 22,서울 중구,중구,111121,.003,.5,.022,.032,35,23
2020-04-02 23,서울 중구,중구,111121,.003,.5,.018,.033,38,24
2020-04-02 24,서울 중구,중구,111121,.003,.5,.017,.031,37,21
2020-04-03 01,서울 중구,중구,111121,.003,.6,.008,.041,40,25
2020-04-03 02,서울 중구,중구,111121,.003,.7,.004,.046,37,21
2020-04-03 03,서울 중구,중구,111121,.003,.7,.003,.043,35,21
2020-04-03 04,서울 중구,중구,111121,.003,.5,.009,.032,38,23
2020-04-03 05,서울 중구,중구,111121,.003,.5,.012,.027,45,30
2020-04-03 06,서울 중구,중구,111121,.002,.5,.015,.025,52,35
2020-04-03 07,서울 중구,중구,111121,.003,.5,.021,.023,67,47
2020-04-03 08,서울 중구,중구,111121,.003,.5,.022,.024,69,52
2020-04-03 09,서울 중구,중구,111121,.003,.6,.02,.03,73,53
2020-04-03 10,서울 중구,중구,111121,.003,.7,.026,.03,71,51
2020-04-03 11,서울 중구,중구,111121,.003,.6,.025,.033,73,53
2020-04-03 12,서울 중구,중구,111121,.003,.6,.028,.033,75,56
2020-04-03 13,서울 중구,중구,111121,.004,.5,.044,.022,67,50
2020-04-03 14,서울 중구,중구,111121,.004,.4,.046,.018,55,40
2020-04-03 15,서울 중구,중구,111121,.004,.4,.049,.015,44,32
2020-04-03 16,서울 중구,중구,111121,.004,.4,.05,.015,46,32
2020-04-03 17,서울 중구,중구,111121,.004,.4,.046,.021,49,32
2020-04-03 18,서울 중구,중구,111121,.004,.4,.045,.018,48,31
2020-04-03 19,서울 중구,중구,111121,.004,.5,.043,.02,49,35
2020-04-03 20,서울 중구,중구,111121,.004,.5,.039,.023,52,37
2020-04-03 21,서울 중구,중구,111121,.003,.5,.037,.025,49,40
2020-04-03 22,서울 중구,중구,111121,.003,.5,.033,.025,48,35
2020-04-03 23,서울 중구,중구,111121,.004,.7,.027,.029,47,35
2020-04-03 24,서울 중구,중구,111121,.003,.5,.027,.025,54,41
2020-04-04 01,서울 중구,중구,111121,.003,.5,.028,.022,65,48
2020-04-04 02,서울 중구,중구,111121,.003,.5,.029,.02,68,52
2020-04-04 03,서울 중구,중구,111121,.003,.5,.03,.018,73,54
2020-04-04 04,서울 중구,중구,111121,.003,.5,.031,.016,73,57
2020-04-04 05,서울 중구,중구,111121,.003,.6,.032,.016,74,63
2020-04-04 06,서울 중구,중구,111121,.003,.6,.029,.018,78,63
2020-04-04 07,서울 중구,중구,111121,.002,.6,.025,.024,85,67
2020-04-04 08,서울 중구,중구,111121,.003,.6,.023,.027,82,63
2020-04-04 09,서울 중구,중구,111121,.003,.6,.029,.022,90,64
2020-04-04 10,서울 중구,중구,111121,.003,.5,.036,.01,104,47
2020-04-04 11,서울 중구,중구,111121,.003,.4,.039,.009,86,25
2020-04-04 12,서울 중구,중구,111121,.003,.3,.042,.008,67,18
2020-04-04 13,서울 중구,중구,111121,.002,.3,.042,.008,58,13
2020-04-04 14,서울 중구,중구,111121,.002,.3,.041,.008,53,12
2020-04-04 15,서울 중구,중구,111121,.002,.3,.041,.008,45,10
2020-04-04 16,서울 중구,중구,111121,.003,.3,.041,.007,42,10
2020-04-04 17,서울 중구,중구,111121,.002,.3,.042,.006,42,7
2020-04-04 18,서울 중구,중구,111121,.002,.3,.043,.006,49,12
2020-04-04 19,서울 중구,중구,111121,.003,.3,.039,.008,50,12
2020-04-04 20,서울 중구,중구,111121,.003,.3,.037,.009,40,9
2020-04-04 21,서울 중구,중구,111121,.003,.3,.036,.009,37,9
2020-04-04 22,서울 중구,중구,111121,.003,.3,.036,.009,35,11
2020-04-04 23,서울 중구,중구,111121,.003,.3,.034,.008,30,14
2020-04-04 24,서울 중구,중구,111121,.002,.3,.032,.009,23,9
2020-04-05 01,서울 중구,중구,111121,.002,.3,.032,.009,21,9
2020-04-05 02,서울 중구,중구,111121,.002,.3,.03,.01,21,9
2020-04-05 03,서울 중구,중구,111121,.003,.3,.035,.008,21,11
2020-04-05 04,서울 중구,중구,111121,.002,.3,.037,.007,24,12
2020-04-05 05,서울 중구,중구,111121,.002,.3,.034,.008,26,14
2020-04-05 06,서울 중구,중구,111121,.003,.3,.032,.01,26,15
2020-04-05 07,서울 중구,중구,111121,.003,.3,.029,.013,30,21
2020-04-05 08,서울 중구,중구,111121,.003,.4,.031,.014,36,24
2020-04-05 09,서울 중구,중구,111121,.003,.4,.037,.01,46,34
2020-04-05 10,서울 중구,중구,111121,.003,.4,.039,.009,50,33
2020-04-05 11,서울 중구,중구,111121,.003,.4,.042,.009,55,37
2020-04-05 12,서울 중구,중구,111121,.003,.4,.043,.01,52,35
2020-04-05 13,서울 중구,중구,111121,.003,.4,.044,.01,49,33
2020-04-05 14,서울 중구,중구,111121,.003,.4,.048,.008,52,35
2020-04-05 15,서울 중구,중구,111121,.003,.3,.048,.007,51,31
2020-04-05 16,서울 중구,중구,111121,.003,.4,.045,.009,49,28
2020-04-05 17,서울 중구,중구,111121,.003,.4,.041,.01,47,29
2020-04-05 18,서울 중구,중구,111121,.003,.4,.037,.012,47,23
2020-04-05 19,서울 중구,중구,111121,.003,.4,.033,.015,46,24
2020-04-05 20,서울 중구,중구,111121,.003,.4,.029,.019,44,22
2020-04-05 21,서울 중구,중구,111121,.002,.4,.027,.02,43,23
2020-04-05 22,서울 중구,중구,111121,.003,.4,.023,.025,42,20
2020-04-05 23,서울 중구,중구,111121,.002,.4,.019,.029,40,19
2020-04-05 24,서울 중구,중구,111121,.002,.5,.011,.039,42,20
2020-04-06 01,서울 중구,중구,111121,.003,.4,.015,.032,45,21
2020-04-06 02,서울 중구,중구,111121,.002,.5,.015,.032,42,22
2020-04-06 03,서울 중구,중구,111121,.002,.5,.009,.04,45,25
2020-04-06 04,서울 중구,중구,111121,.002,.5,.009,.039,45,25
2020-04-06 05,서울 중구,중구,111121,.003,.5,.01,.035,48,27
2020-04-06 06,서울 중구,중구,111121,.003,.5,.008,.035,46,29
2020-04-06 07,서울 중구,중구,111121,.002,.5,.004,.042,47,31
2020-04-06 08,서울 중구,중구,111121,.003,.6,.005,.045,49,28
2020-04-06 09,서울 중구,중구,111121,.003,.6,.008,.043,55,30
2020-04-06 10,서울 중구,중구,111121,.003,.7,.012,.039,50,27
2020-04-06 11,서울 중구,중구,111121,.003,.7,.015,.042,53,30
2020-04-06 12,서울 중구,중구,111121,.004,.5,.022,.038,55,32
2020-04-06 13,서울 중구,중구,111121,.004,.6,.026,.043,63,40
2020-04-06 14,서울 중구,중구,111121,.004,.5,.039,.025,62,39
2020-04-06 15,서울 중구,중구,111121,.004,.4,.044,.019,48,27
2020-04-06 16,서울 중구,중구,111121,.004,.4,.045,.02,47,21
2020-04-06 17,서울 중구,중구,111121,.004,.4,.045,.019,55,21
2020-04-06 18,서울 중구,중구,111121,.004,.4,.046,.019,59,20
2020-04-06 19,서울 중구,중구,111121,.003,.4,.041,.02,57,17
2020-04-06 20,서울 중구,중구,111121,.003,.4,.031,.027,48,16
2020-04-06 21,서울 중구,중구,111121,.004,.4,.028,.029,44,17
2020-04-06 22,서울 중구,중구,111121,.003,.4,.027,.025,41,18
2020-04-06 23,서울 중구,중구,111121,.003,.4,.022,.031,37,19
2020-04-06 24,서울 중구,중구,111121,.002,.4,.023,.028,32,15
2020-04-07 01,서울 중구,중구,111121,.003,.4,.025,.023,30,12
2020-04-07 02,서울 중구,중구,111121,.002,.4,.024,.021,27,14
2020-04-07 03,서울 중구,중구,111121,.002,.4,.021,.022,27,15
2020-04-07 04,서울 중구,중구,111121,.002,.4,.021,.02,29,17
2020-04-07 05,서울 중구,중구,111121,.003,.4,.015,.024,32,19
2020-04-07 06,서울 중구,중구,111121,.002,.3,.018,.02,37,24
2020-04-07 07,서울 중구,중구,111121,.003,.4,.016,.026,35,22
2020-04-07 08,서울 중구,중구,111121,.003,.4,.016,.027,32,20
2020-04-07 09,서울 중구,중구,111121,.003,.5,.013,.033,37,21
2020-04-07 10,서울 중구,중구,111121,.003,.5,.019,.03,39,21
2020-04-07 11,서울 중구,중구,111121,.004,.4,.02,.031,42,25
2020-04-07 12,서울 중구,중구,111121,.005,.5,.027,.029,51,30
2020-04-07 13,서울 중구,중구,111121,.005,.5,.033,.033,65,39
2020-04-07 14,서울 중구,중구,111121,.005,.6,.048,.022,80,49
2020-04-07 15,서울 중구,중구,111121,.005,.5,.048,.02,86,48
2020-04-07 16,서울 중구,중구,111121,.005,.5,.046,.021,76,41
2020-04-07 17,서울 중구,중구,111121,.005,.5,.048,.022,82,43
2020-04-07 18,서울 중구,중구,111121,.005,.6,.046,.024,82,43
2020-04-07 19,서울 중구,중구,111121,.004,.5,.041,.027,85,46
2020-04-07 20,서울 중구,중구,111121,.003,.5,.034,.026,74,42
2020-04-07 21,서울 중구,중구,111121,.003,.5,.029,.026,62,32
2020-04-07 22,서울 중구,중구,111121,.003,.4,.025,.027,50,26
2020-04-07 23,서울 중구,중구,111121,.003,.4,.024,.024,45,25
2020-04-07 24,서울 중구,중구,111121,.003,.4,.028,.018,37,17
2020-04-08 01,서울 중구,중구,111121,.002,.4,.03,.016,30,15
2020-04-08 02,서울 중구,중구,111121,.003,.3,.035,.011,29,14
2020-04-08 03,서울 중구,중구,111121,.003,.4,.033,.013,31,17
2020-04-08 04,서울 중구,중구,111121,.003,.4,.034,.012,33,17
