날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5
2020-05-04 14,서울 중구,중구,111121,.002,.4,.044,.014,27,18
2020-05-04 15,서울 중구,중구,111121,.002,.4,.043,.014,22,15
2020-05-04 16,서울 중구,중구,111121,.003,.4,.04,.017,23,11
2020-05-04 17,서울 중구,중구,111121,.002,.4,.038,.019,30,12
2020-05-04 18,서울 중구,중구,111121,.003,.4,.031,.026,40,17
2020-05-04 19,서울 중구,중구,111121,.002,.5,.025,.029,40,21
2020-05-04 20,서울 중구,중구,111121,.003,.5,.019,.033,37,
2020-05-04 21,서울 중구,중구,111121,.002,.5,.022,.027,37,18
2020-05-04 22,서울 중구,중구,111121,.003,.4,.022,.026,35,17
2020-05-04 23,서울 중구,중구,111121,.003,.4,.018,.027,35,16
2020-05-04 24,서울 중구,중구,111121,.003,.4,.016,.029,34,17
2020-05-05 01,서울 중구,중구,111121,.003,.4,.011,.033,33,19
2020-05-05 02,서울 중구,중구,111121,.002,.5,.008,.035,33,17
2020-05-05 03,서울 중구,중구,111121,.003,.5,.008,.031,34,18
2020-05-05 04,서울 중구,중구,111121,.003,.5,.007,.032,32,17
2020-05-05 05,서울 중구,중구,111121,.003,.5,.005,.032,31,15
2020-05-05 06,서울 중구,중구,111121,.003,.6,.005,.034,35,17
2020-05-05 07,서울 중구,중구,111121,.003,.5,.014,.024,33,18
2020-05-05 08,서울 중구,중구,111121,.003,.5,.017,.022,32,16
2020-05-05 09,서울 중구,중구,111121,.003,.5,.018,.022,30,16
2020-05-05 10,서울 중구,중구,111121,.003,.5,.018,.026,29,16
2020-05-05 11,서울 중구,중구,111121,.003,.5,.021,.026,29,18
2020-05-05 12,서울 중구,중구,111121,.003,.4,.027,.021,30,18
2020-05-05 13,서울 중구,중구,111121,.003,.5,.023,.026,28,19
2020-05-05 14,서울 중구,중구,111121,.003,.5,.019,.031,41,25
2020-05-05 15,서울 중구,중구,111121,.004,.4,.026,.024,42,28
2020-05-05 16,서울 중구,중구,111121,.004,.4,.036,.016,28,18
2020-05-05 17,서울 중구,중구,111121,.003,.4,.04,.013,14,13
2020-05-05 18,서울 중구,중구,111121,.003,.4,.042,.013,28,23
2020-05-05 19,서울 중구,중구,111121,.003,.4,.04,.016,31,24
2020-05-05 20,서울 중구,중구,111121,.003,.4,.037,.019,29,23
2020-05-05 21,서울 중구,중구,111121,.003,.4,.033,.022,21,18
2020-05-05 22,서울 중구,중구,111121,.003,.4,.028,.026,20,14
2020-05-05 23,서울 중구,중구,111121,.003,.4,.024,.026,21,16
2020-05-05 24,서울 중구,중구,111121,.003,.4,.024,.026,21,14
2020-05-06 01,서울 중구,중구,111121,.003,.4,.019,.026,17,15
2020-05-06 02,서울 중구,중구,111121,.002,.4,.014,.029,20,14
2020-05-06 03,서울 중구,중구,111121,.002,.4,.021,.023,19,14
2020-05-06 04,서울 중구,중구,111121,.002,.4,.018,.022,19,14
2020-05-06 05,서울 중구,중구,111121,.002,.4,.018,.02,18,16
2020-05-06 06,서울 중구,중구,111121,.002,.4,.018,.023,20,15
2020-05-06 07,서울 중구,중구,111121,.002,.5,.01,.032,21,13
2020-05-06 08,서울 중구,중구,111121,.003,.5,.014,.031,26,15
2020-05-06 09,서울 중구,중구,111121,.003,.4,.028,.026,24,14
2020-05-06 10,서울 중구,중구,111121,.003,.4,.034,.023,16,9
2020-05-06 11,서울 중구,중구,111121,.003,.4,.041,.018,25,15
2020-05-06 12,서울 중구,중구,111121,.003,.4,.042,.02,31,17
2020-05-06 13,서울 중구,중구,111121,.003,.5,.045,.023,37,21
2020-05-06 14,서울 중구,중구,111121,.003,.4,.051,.02,37,19
2020-05-06 15,서울 중구,중구,111121,.003,.3,.061,.014,32,15
2020-05-06 16,서울 중구,중구,111121,.003,.3,.059,.011,26,12
2020-05-06 17,서울 중구,중구,111121,.003,.3,.057,.011,24,12
2020-05-06 18,서울 중구,중구,111121,.003,.4,.051,.015,30,17
2020-05-06 19,서울 중구,중구,111121,.003,.4,.046,.019,38,19
2020-05-06 20,서울 중구,중구,111121,.003,.4,.039,.025,37,20
2020-05-06 21,서울 중구,중구,111121,.003,.5,.03,.032,36,23
2020-05-06 22,서울 중구,중구,111121,.003,.5,.022,.038,37,21
2020-05-06 23,서울 중구,중구,111121,.003,.6,.009,.05,34,21
2020-05-06 24,서울 중구,중구,111121,.003,.6,.006,.053,38,21
2020-05-07 01,서울 중구,중구,111121,.003,.5,.018,.036,34,17
2020-05-07 02,서울 중구,중구,111121,.003,.4,.031,.017,24,13
2020-05-07 03,서울 중구,중구,111121,.003,.3,.034,.012,16,10
2020-05-07 04,서울 중구,중구,111121,.003,.3,.038,.009,15,8
2020-05-07 05,서울 중구,중구,111121,.002,.3,.037,.011,11,8
2020-05-07 06,서울 중구,중구,111121,.002,.3,.028,.021,13,7
2020-05-07 07,서울 중구,중구,111121,.002,.3,.025,.026,14,9
2020-05-07 08,서울 중구,중구,111121,.002,.3,.026,.027,14,7
2020-05-07 09,서울 중구,중구,111121,.002,.3,.031,.023,13,6
2020-05-07 10,서울 중구,중구,111121,.003,.4,.035,.02,16,8
2020-05-07 11,서울 중구,중구,111121,.003,.3,.038,.02,19,9
2020-05-07 12,서울 중구,중구,111121,.003,.4,.041,.021,23,10
2020-05-07 13,서울 중구,중구,111121,.003,.4,.047,.017,24,16
2020-05-07 14,서울 중구,중구,111121,.003,.4,.052,.015,21,13
2020-05-07 15,서울 중구,중구,111121,.003,.4,.052,.021,24,13
2020-05-07 16,서울 중구,중구,111121,,,,,,
2020-05-07 17,서울 중구,중구,111121,,,,,,
2020-05-07 18,서울 중구,중구,111121,.003,.3,.046,.024,,
2020-05-07 19,서울 중구,중구,111121,.003,.3,.045,.024,38,20
2020-05-07 20,서울 중구,중구,111121,.003,.3,.046,.021,33,17
2020-05-07 21,서울 중구,중구,111121,.003,.3,.045,.019,29,16
2020-05-07 22,서울 중구,중구,111121,.003,.4,.026,.039,31,17
2020-05-07 23,서울 중구,중구,111121,.003,.5,.013,.053,32,20
2020-05-07 24,서울 중구,중구,111121,.003,.5,.009,.056,35,21
2020-05-08 01,서울 중구,중구,111121,.002,.4,.024,.026,26,14
2020-05-08 02,서울 중구,중구,111121,.003,.3,.029,.016,18,12
2020-05-08 03,서울 중구,중구,111121,.002,.3,.031,.013,15,12
2020-05-08 04,서울 중구,중구,111121,.003,.3,.033,.011,13,9
2020-05-08 05,서울 중구,중구,111121,.003,.3,.031,.013,12,7
2020-05-08 06,서울 중구,중구,111121,.003,.3,.023,.022,12,8
