날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5
2019-05-01 01,서울 중구,중구,111121,.003,.5,.017,.048,21,11
2019-05-01 02,서울 중구,중구,111121,.003,.5,.02,.044,21,11
2019-05-01 03,서울 중구,중구,111121,.003,.4,.032,.03,21,10
2019-05-01 04,서울 중구,중구,111121,.003,.4,.029,.03,22,11
2019-05-01 05,서울 중구,중구,111121,.003,.4,.029,.028,24,13
2019-05-01 06,서울 중구,중구,111121,.003,.4,.017,.04,23,13
2019-05-01 07,서울 중구,중구,111121,.003,.5,.013,.042,25,17
2019-05-01 08,서울 중구,중구,111121,.004,.5,.012,.045,27,16
2019-05-01 09,서울 중구,중구,111121,.005,.4,.019,.041,32,19
2019-05-01 10,서울 중구,중구,111121,.006,.6,.032,.034,33,19
2019-05-01 11,서울 중구,중구,111121,.004,.5,.036,.031,37,23
2019-05-01 12,서울 중구,중구,111121,.003,.4,.064,.018,51,30
2019-05-01 13,서울 중구,중구,111121,.003,.4,.073,.013,56,32
2019-05-01 14,서울 중구,중구,111121,.003,.4,.073,.014,47,26
2019-05-01 15,서울 중구,중구,111121,.003,.4,.074,.013,47,26
2019-05-01 16,서울 중구,중구,111121,.003,.5,.072,.016,56,29
2019-05-01 17,서울 중구,중구,111121,.004,.6,.067,.021,62,33
2019-05-01 18,서울 중구,중구,111121,.004,.5,.06,.022,61,30
2019-05-01 19,서울 중구,중구,111121,.003,.6,.044,.032,71,29
2019-05-01 20,서울 중구,중구,111121,.003,.6,.035,.039,75,29
2019-05-01 21,서울 중구,중구,111121,.003,.6,.031,.041,83,29
2019-05-01 22,서울 중구,중구,111121,.003,.4,.05,.018,94,20
2019-05-01 23,서울 중구,중구,111121,.003,.4,.05,.018,92,19
2019-05-01 24,서울 중구,중구,111121,.003,.4,.048,.018,83,18
2019-05-02 01,서울 중구,중구,111121,.003,.4,.053,.014,87,17
2019-05-02 02,서울 중구,중구,111121,.003,.4,.045,.018,79,17
2019-05-02 03,서울 중구,중구,111121,.003,.4,.042,.019,75,19
2019-05-02 04,서울 중구,중구,111121,.003,.4,.044,.016,70,18
2019-05-02 05,서울 중구,중구,111121,.003,.4,.037,.019,67,18
2019-05-02 06,서울 중구,중구,111121,.003,.4,.032,.024,63,18
2019-05-02 07,서울 중구,중구,111121,.003,.5,.018,.037,62,18
2019-05-02 08,서울 중구,중구,111121,.003,.5,.013,.044,61,18
2019-05-02 09,서울 중구,중구,111121,.003,.5,.027,.033,61,17
2019-05-02 10,서울 중구,중구,111121,.003,.4,.041,.017,46,12
2019-05-02 11,서울 중구,중구,111121,.003,.3,.05,.012,39,12
2019-05-02 12,서울 중구,중구,111121,.003,.3,.059,.009,33,10
2019-05-02 13,서울 중구,중구,111121,.003,.3,.062,.01,31,9
2019-05-02 14,서울 중구,중구,111121,.003,.3,.057,.015,29,9
2019-05-02 15,서울 중구,중구,111121,.002,.3,.06,.012,29,8
2019-05-02 16,서울 중구,중구,111121,.003,.3,.055,.018,33,10
2019-05-02 17,서울 중구,중구,111121,.003,.4,.05,.024,37,8
2019-05-02 18,서울 중구,중구,111121,.004,.5,.044,.032,41,13
2019-05-02 19,서울 중구,중구,111121,.003,.4,.041,.032,36,12
2019-05-02 20,서울 중구,중구,111121,.003,.4,.04,.031,26,10
2019-05-02 21,서울 중구,중구,111121,.003,.5,.035,.039,22,10
2019-05-02 22,서울 중구,중구,111121,.004,.4,.028,.042,28,11
2019-05-02 23,서울 중구,중구,111121,.005,.4,.034,.039,28,12
2019-05-02 24,서울 중구,중구,111121,.005,.4,.043,.03,33,13
2019-05-03 01,서울 중구,중구,111121,.005,.5,.031,.038,38,15
2019-05-03 02,서울 중구,중구,111121,.004,.6,.013,.05,39,15
2019-05-03 03,서울 중구,중구,111121,.004,.6,.018,.039,37,17
2019-05-03 04,서울 중구,중구,111121,.004,.6,.017,.038,35,16
2019-05-03 05,서울 중구,중구,111121,.004,.6,.009,.045,35,17
2019-05-03 06,서울 중구,중구,111121,.003,.6,.003,.053,33,15
2019-05-03 07,서울 중구,중구,111121,.004,.6,.005,.053,35,17
2019-05-03 08,서울 중구,중구,111121,.005,.6,.009,.051,39,16
2019-05-03 09,서울 중구,중구,111121,.005,.6,.017,.051,41,16
2019-05-03 10,서울 중구,중구,111121,.006,.6,.031,.046,40,16
2019-05-03 11,서울 중구,중구,111121,.006,.6,.027,.054,44,21
2019-05-03 12,서울 중구,중구,111121,.006,.6,.026,.053,46,21
2019-05-03 13,서울 중구,중구,111121,.005,.6,.035,.057,50,23
2019-05-03 14,서울 중구,중구,111121,.005,.6,.052,.046,50,23
2019-05-03 15,서울 중구,중구,111121,.008,.6,.092,.04,62,31
2019-05-03 16,서울 중구,중구,111121,.009,.7,.101,.036,66,29
2019-05-03 17,서울 중구,중구,111121,.007,.7,.086,.038,61,28
2019-05-03 18,서울 중구,중구,111121,.008,.7,.085,.038,56,29
2019-05-03 19,서울 중구,중구,111121,.009,.8,.077,.052,68,38
2019-05-03 20,서울 중구,중구,111121,.008,1,.072,.056,78,43
2019-05-03 21,서울 중구,중구,111121,.008,.9,.048,.065,88,51
2019-05-03 22,서울 중구,중구,111121,.007,.9,.034,.071,84,48
2019-05-03 23,서울 중구,중구,111121,.007,.8,.027,.074,90,49
2019-05-03 24,서울 중구,중구,111121,.006,.8,.029,.071,86,50
2019-05-04 01,서울 중구,중구,111121,.007,.8,.036,.06,91,54
2019-05-04 02,서울 중구,중구,111121,.007,.8,.034,.055,86,53
2019-05-04 03,서울 중구,중구,111121,.007,.8,.033,.047,100,60
2019-05-04 04,서울 중구,중구,111121,.006,.8,.036,.038,99,63
2019-05-04 05,서울 중구,중구,111121,.005,.9,.032,.038,97,61
2019-05-04 06,서울 중구,중구,111121,.005,.8,.034,.039,84,55
2019-05-04 07,서울 중구,중구,111121,.005,.9,.008,.067,90,60
2019-05-04 08,서울 중구,중구,111121,.006,.9,.013,.067,90,60
2019-05-04 09,서울 중구,중구,111121,.007,.9,.019,.069,106,66
2019-05-04 10,서울 중구,중구,111121,.007,1,.025,.069,100,77
2019-05-04 11,서울 중구,중구,111121,.007,.9,.044,.062,97,92
2019-05-04 12,서울 중구,중구,111121,.006,.8,.057,.059,92,55
2019-05-04 13,서울 중구,중구,111121,.005,.7,.064,.053,85,50
2019-05-04 14,서울 중구,중구,111121,.005,.6,.084,.037,71,38
2019-05-04 15,서울 중구,중구,111121,.006,.5,.097,.032,73,38
2019-05-04 16,서울 중구,중구,111121,.008,.6,.109,.033,73,40
2019-05-04 17,서울 중구,중구,111121,.006,.5,.105,.026,71,36
2019-05-04 18,서울 중구,중구,111121,.005,.4,.098,.025,54,29
2019-05-04 19,서울 중구,중구,111121,.005,.5,.082,.034,53,25
2019-05-04 20,서울 중구,중구,111121,.004,.5,.072,.038,50,26
2019-05-04 21,서울 중구,중구,111121,.004,.5,.061,.045,52,30
2019-05-04 22,서울 중구,중구,111121,.004,.6,.044,.061,56,33
2019-05-04 23,서울 중구,중구,111121,.005,.6,.037,.061,65,37
2019-05-04 24,서울 중구,중구,111121,.005,.8,.014,.084,90,59
2019-05-05 01,서울 중구,중구,111121,.005,.9,.007,.088,124,87
2019-05-05 02,서울 중구,중구,111121,.006,.8,.023,.066,107,74
2019-05-05 03,서울 중구,중구,111121,.006,.7,.039,.043,82,59
2019-05-05 04,서울 중구,중구,111121,.006,.8,.034,.041,76,52
2019-05-05 05,서울 중구,중구,111121,.005,.8,.018,.048,77,52
2019-05-05 06,서울 중구,중구,111121,.004,.8,.011,.053,73,51
2019-05-05 07,서울 중구,중구,111121,.005,.9,.007,.056,72,49
2019-05-05 08,서울 중구,중구,111121,.004,.9,.009,.057,65,43
2019-05-05 09,서울 중구,중구,111121,.005,.8,.017,.059,67,41
2019-05-05 10,서울 중구,중구,111121,.006,.9,.026,.063,70,44
2019-05-05 11,서울 중구,중구,111121,.005,.8,.051,.05,71,47
2019-05-05 12,서울 중구,중구,111121,.005,.9,.085,.045,63,38
2019-05-05 13,서울 중구,중구,111121,.006,.4,.087,.024,50,30
2019-05-05 14,서울 중구,중구,111121,.007,.4,.088,.02,48,27
2019-05-05 15,서울 중구,중구,111121,.004,.4,.089,.016,39,17
2019-05-05 16,서울 중구,중구,111121,.004,.4,.101,.013,41,17
2019-05-05 17,서울 중구,중구,111121,.004,.4,.101,.016,42,20
2019-05-05 18,서울 중구,중구,111121,.004,.4,.103,.016,39,22
2019-05-05 19,서울 중구,중구,111121,.004,.4,.095,.022,39,23
2019-05-05 20,서울 중구,중구,111121,.004,.5,.081,.027,43,25
2019-05-05 21,서울 중구,중구,111121,.005,.5,.079,.025,46,26
2019-05-05 22,서울 중구,중구,111121,.005,.5,.07,.022,55,29
2019-05-05 23,서울 중구,중구,111121,.004,.5,.056,.021,63,28
2019-05-05 24,서울 중구,중구,111121,.003,.3,.049,.011,47,15
2019-05-06 01,서울 중구,중구,111121,.003,.3,.044,.008,31,8
2019-05-06 02,서울 중구,중구,111121,.002,.3,.04,.008,25,7
2019-05-06 03,서울 중구,중구,111121,.002,.3,.042,.007,22,7
2019-05-06 04,서울 중구,중구,111121,.002,.3,.046,.006,20,6
2019-05-06 05,서울 중구,중구,111121,.002,.3,.046,.006,16,5
