날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5
2018-04-01 01,서울 중구,중구,111121,.005,.4,.03,.032,45,22
2018-04-01 02,서울 중구,중구,111121,.005,.5,.024,.034,45,22
2018-04-01 03,서울 중구,중구,111121,.005,.5,.023,.032,47,26
2018-04-01 04,서울 중구,중구,111121,.005,.5,.021,.03,52,25
2018-04-01 05,서울 중구,중구,111121,.005,.6,.01,.042,52,25
2018-04-01 06,서울 중구,중구,111121,.005,.7,.005,.049,48,25
2018-04-01 07,서울 중구,중구,111121,.005,.6,.004,.051,51,28
2018-04-01 08,서울 중구,중구,111121,.005,.6,.009,.048,52,26
2018-04-01 09,서울 중구,중구,111121,.006,.5,.017,.044,64,26
2018-04-01 10,서울 중구,중구,111121,.006,.6,.033,.034,57,24
2018-04-01 11,서울 중구,중구,111121,.007,.6,.039,.031,52,23
2018-04-01 12,서울 중구,중구,111121,.005,.5,.04,.03,50,22
2018-04-01 13,서울 중구,중구,111121,.003,.4,.043,.024,45,22
2018-04-01 14,서울 중구,중구,111121,.003,.5,.038,.026,54,24
2018-04-01 15,서울 중구,중구,111121,.004,.5,.036,.027,59,28
2018-04-01 16,서울 중구,중구,111121,.004,.6,.033,.029,,34
2018-04-01 17,서울 중구,중구,111121,.004,.5,.036,.023,,36
2018-04-01 18,서울 중구,중구,111121,.004,.5,.037,.021,79,38
2018-04-01 19,서울 중구,중구,111121,.003,.4,.03,.026,75,37
2018-04-01 20,서울 중구,중구,111121,.003,.4,.025,.03,75,33
2018-04-01 21,서울 중구,중구,111121,.003,.4,.033,.02,81,34
2018-04-01 22,서울 중구,중구,111121,.004,.5,.032,.021,74,32
2018-04-01 23,서울 중구,중구,111121,.004,.5,.03,.024,70,34
2018-04-01 24,서울 중구,중구,111121,.004,.5,.035,.02,69,30
2018-04-02 01,서울 중구,중구,111121,.004,.5,.038,.019,70,28
2018-04-02 02,서울 중구,중구,111121,.004,.4,.043,.014,61,24
2018-04-02 03,서울 중구,중구,111121,.004,.4,.043,.011,61,25
2018-04-02 04,서울 중구,중구,111121,.004,.4,.036,.015,69,27
2018-04-02 05,서울 중구,중구,111121,.005,.5,.027,.022,65,29
2018-04-02 06,서울 중구,중구,111121,.004,.4,.022,.029,63,28
2018-04-02 07,서울 중구,중구,111121,.004,.5,.006,.049,59,25
2018-04-02 08,서울 중구,중구,111121,.004,.6,.005,.052,58,26
2018-04-02 09,서울 중구,중구,111121,.004,.5,.011,.048,59,25
2018-04-02 10,서울 중구,중구,111121,.005,.6,.014,.05,57,25
2018-04-02 11,서울 중구,중구,111121,.005,.7,.02,.042,57,24
2018-04-02 12,서울 중구,중구,111121,.006,.5,.028,.033,52,23
2018-04-02 13,서울 중구,중구,111121,.005,.6,.031,.033,58,24
2018-04-02 14,서울 중구,중구,111121,.004,.4,.045,.021,66,28
2018-04-02 15,서울 중구,중구,111121,.004,.4,.049,.02,63,26
2018-04-02 16,서울 중구,중구,111121,.004,.3,.048,.022,59,24
2018-04-02 17,서울 중구,중구,111121,.004,.3,.044,.021,55,22
2018-04-02 18,서울 중구,중구,111121,.004,.3,.038,.025,55,17
2018-04-02 19,서울 중구,중구,111121,.005,.4,.029,.033,57,17
2018-04-02 20,서울 중구,중구,111121,.004,.5,.02,.039,51,17
2018-04-02 21,서울 중구,중구,111121,.005,.5,.015,.041,48,17
2018-04-02 22,서울 중구,중구,111121,.004,.4,.019,.034,44,14
2018-04-02 23,서울 중구,중구,111121,.005,.4,.011,.039,41,12
2018-04-02 24,서울 중구,중구,111121,.005,.4,.012,.039,41,12
2018-04-03 01,서울 중구,중구,111121,.004,.4,.021,.028,42,13
2018-04-03 02,서울 중구,중구,111121,.006,.5,.025,.022,41,12
2018-04-03 03,서울 중구,중구,111121,.007,.6,.023,.021,45,14
2018-04-03 04,서울 중구,중구,111121,.006,.5,.029,.016,42,12
2018-04-03 05,서울 중구,중구,111121,.007,.6,.025,.019,39,13
2018-04-03 06,서울 중구,중구,111121,.007,.6,.01,.035,41,12
2018-04-03 07,서울 중구,중구,111121,.005,.5,.007,.04,45,13
2018-04-03 08,서울 중구,중구,111121,.004,.5,.009,.042,41,12
2018-04-03 09,서울 중구,중구,111121,.005,.5,.013,.038,43,14
2018-04-03 10,서울 중구,중구,111121,.005,.5,.016,.036,45,13
2018-04-03 11,서울 중구,중구,111121,.004,.5,.015,.036,52,15
2018-04-03 12,서울 중구,중구,111121,.004,.4,.019,.034,60,18
2018-04-03 13,서울 중구,중구,111121,.005,.4,.03,.025,70,19
2018-04-03 14,서울 중구,중구,111121,.004,.4,.032,.025,69,19
2018-04-03 15,서울 중구,중구,111121,.004,.4,.034,.024,68,18
2018-04-03 16,서울 중구,중구,111121,.004,.5,.028,.027,75,17
2018-04-03 17,서울 중구,중구,111121,.004,.4,.031,.022,77,18
2018-04-03 18,서울 중구,중구,111121,.003,.4,.028,.025,80,18
2018-04-03 19,서울 중구,중구,111121,.004,.4,.014,.036,73,18
2018-04-03 20,서울 중구,중구,111121,.004,.4,.014,.034,55,15
2018-04-03 21,서울 중구,중구,111121,.004,.4,.014,.033,53,18
2018-04-03 22,서울 중구,중구,111121,.004,.4,.018,.026,53,19
2018-04-03 23,서울 중구,중구,111121,.003,.4,.012,.029,55,25
2018-04-03 24,서울 중구,중구,111121,.002,.4,.008,.035,55,22
2018-04-04 01,서울 중구,중구,111121,.003,.4,.016,.024,41,17
2018-04-04 02,서울 중구,중구,111121,.003,.3,.02,.018,35,18
2018-04-04 03,서울 중구,중구,111121,.003,.3,.019,.018,23,12
2018-04-04 04,서울 중구,중구,111121,.003,.3,.021,.015,11,7
2018-04-04 05,서울 중구,중구,111121,.002,.3,.024,.012,8,6
2018-04-04 06,서울 중구,중구,111121,.002,.3,.025,.01,3,3
2018-04-04 07,서울 중구,중구,111121,.002,.4,.022,.018,3,2
2018-04-04 08,서울 중구,중구,111121,.002,.4,.019,.021,4,3
2018-04-04 09,서울 중구,중구,111121,.002,.4,.019,.023,5,3
2018-04-04 10,서울 중구,중구,111121,.002,.4,.02,.026,8,3
2018-04-04 11,서울 중구,중구,111121,.002,.4,.023,.024,8,4
2018-04-04 12,서울 중구,중구,111121,.002,.4,.033,.018,7,1
2018-04-04 13,서울 중구,중구,111121,.002,.4,.036,.019,9,3
2018-04-04 14,서울 중구,중구,111121,.002,.4,.039,.019,10,6
2018-04-04 15,서울 중구,중구,111121,.002,.4,.04,.019,9,4
2018-04-04 16,서울 중구,중구,111121,.002,.4,.039,.02,8,3
2018-04-04 17,서울 중구,중구,111121,.002,.4,.036,.022,9,3
2018-04-04 18,서울 중구,중구,111121,.002,.4,.032,.026,10,4
2018-04-04 19,서울 중구,중구,111121,.002,.5,.025,.03,14,9
2018-04-04 20,서울 중구,중구,111121,.002,.5,.022,.032,14,9
2018-04-04 21,서울 중구,중구,111121,.002,.5,.02,.031,14,11
2018-04-04 22,서울 중구,중구,111121,.002,.4,.025,.024,10,6
2018-04-04 23,서울 중구,중구,111121,.002,.4,.024,.024,9,3
2018-04-04 24,서울 중구,중구,111121,.002,.3,.027,.02,8,5
2018-04-05 01,서울 중구,중구,111121,.002,.4,.027,.019,7,5
2018-04-05 02,서울 중구,중구,111121,.002,.3,.032,.012,7,4
2018-04-05 03,서울 중구,중구,111121,.002,.3,.033,.011,7,3
2018-04-05 04,서울 중구,중구,111121,.002,.3,.031,.012,6,4
2018-04-05 05,서울 중구,중구,111121,.002,.3,.028,.013,7,4
2018-04-05 06,서울 중구,중구,111121,.002,.4,.018,.021,9,6
2018-04-05 07,서울 중구,중구,111121,.002,.4,.019,.021,9,7
2018-04-05 08,서울 중구,중구,111121,.002,.4,.015,.027,6,3
2018-04-05 09,서울 중구,중구,111121,.002,.5,.012,.032,3,2
2018-04-05 10,서울 중구,중구,111121,.002,.5,.011,.036,6,3
2018-04-05 11,서울 중구,중구,111121,.002,.5,.014,.032,8,4
2018-04-05 12,서울 중구,중구,111121,.002,.5,.015,.032,9,6
2018-04-05 13,서울 중구,중구,111121,.002,.5,.015,.033,11,7
2018-04-05 14,서울 중구,중구,111121,.002,.5,.014,.034,9,6
2018-04-05 15,서울 중구,중구,111121,.002,.6,.01,.04,10,6
2018-04-05 16,서울 중구,중구,111121,.002,.5,.012,.038,10,5
2018-04-05 17,서울 중구,중구,111121,.002,.5,.012,.037,6,4
2018-04-05 18,서울 중구,중구,111121,.002,.5,.012,.036,5,4
2018-04-05 19,서울 중구,중구,111121,.002,.5,.016,.032,7,6
2018-04-05 20,서울 중구,중구,111121,.002,.5,.011,.037,10,7
2018-04-05 21,서울 중구,중구,111121,.002,.5,.011,.034,10,8
2018-04-05 22,서울 중구,중구,111121,.002,.5,.014,.031,7,5
2018-04-05 23,서울 중구,중구,111121,.002,.5,.013,.033,7,3
2018-04-05 24,서울 중구,중구,111121,.002,.4,.019,.025,5,3
2018-04-06 01,서울 중구,중구,111121,.002,.4,.02,.023,4,2
2018-04-06 02,서울 중구,중구,111121,.002,.4,.024,.016,4,3
2018-04-06 03,서울 중구,중구,111121,.002,.4,.02,.017,5,6
2018-04-06 04,서울 중구,중구,111121,.002,.4,.018,.017,7,5
2018-04-06 05,서울 중구,중구,111121,.002,.4,.019,.015,5,5
2018-04-06 06,서울 중구,중구,111121,.002,.4,.016,.019,4,3
2018-04-06 07,서울 중구,중구,111121,.002,.4,.021,.019,5,5
2018-04-06 08,서울 중구,중구,111121,.002,.4,.025,.02,5,4
2018-04-06 09,서울 중구,중구,111121,.002,.4,.026,.02,5,4
2018-04-06 10,서울 중구,중구,111121,.002,.4,.026,.021,15,5
2018-04-06 11,서울 중구,중구,111121,.002,.4,.029,.021,43,12
2018-04-06 12,서울 중구,중구,111121,.002,.5,.033,.02,64,21
2018-04-06 13,서울 중구,중구,111121,.002,.6,.028,.02,118,32
2018-04-06 14,서울 중구,중구,111121,.002,.5,.032,.019,193,41
2018-04-06 15,서울 중구,중구,111121,.002,.5,.032,.021,249,43
2018-04-06 16,서울 중구,중구,111121,.002,.4,.035,.019,225,29
2018-04-06 17,서울 중구,중구,111121,.002,.5,.033,.019,267,26
2018-04-06 18,서울 중구,중구,111121,.002,.4,.036,.018,235,23
2018-04-06 19,서울 중구,중구,111121,.002,.5,.039,.018,198,21
2018-04-06 20,서울 중구,중구,111121,.002,.5,.038,.019,136,20
2018-04-06 21,서울 중구,중구,111121,.002,.5,.041,.02,113,25
2018-04-06 22,서울 중구,중구,111121,.002,.6,.035,.023,75,41
2018-04-06 23,서울 중구,중구,111121,.002,.6,.039,.019,86,44
2018-04-06 24,서울 중구,중구,111121,.002,.6,.032,.015,84,40
2018-04-07 01,서울 중구,중구,111121,.002,.4,.034,.012,54,40
2018-04-07 02,서울 중구,중구,111121,.002,.4,.035,.01,44,30
2018-04-07 03,서울 중구,중구,111121,.002,.4,.035,.009,39,24
2018-04-07 04,서울 중구,중구,111121,.002,.4,.037,.009,32,23
2018-04-07 05,서울 중구,중구,111121,.002,.4,.037,.009,37,21
2018-04-07 06,서울 중구,중구,111121,.002,.4,.036,.012,47,26
2018-04-07 07,서울 중구,중구,111121,.003,.4,.03,.017,59,34
2018-04-07 08,서울 중구,중구,111121,.003,.4,.027,.022,59,32
2018-04-07 09,서울 중구,중구,111121,.002,.4,.031,.017,62,28
2018-04-07 10,서울 중구,중구,111121,.003,.4,.039,.012,58,22
2018-04-07 11,서울 중구,중구,111121,.003,.4,.043,.01,59,24
2018-04-07 12,서울 중구,중구,111121,.003,.4,.043,.01,47,19
2018-04-07 13,서울 중구,중구,111121,.002,.3,.046,.008,38,12
2018-04-07 14,서울 중구,중구,111121,.003,.3,.048,.008,35,12
2018-04-07 15,서울 중구,중구,111121,.003,.3,.044,.01,37,12
2018-04-07 16,서울 중구,중구,111121,.003,.3,.043,.013,40,11
2018-04-07 17,서울 중구,중구,111121,.003,.3,.046,.01,33,11
2018-04-07 18,서울 중구,중구,111121,.002,.3,.045,.012,26,10
2018-04-07 19,서울 중구,중구,111121,.002,.3,.043,.014,23,12
