날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5
2018-03-01 01,서울 중구,중구,111121,.003,.6,.023,.029,7,4
2018-03-01 02,서울 중구,중구,111121,.003,.6,.015,.036,6,4
2018-03-01 03,서울 중구,중구,111121,.003,.5,.026,.024,10,7
2018-03-01 04,서울 중구,중구,111121,.003,.5,.028,.022,8,7
2018-03-01 05,서울 중구,중구,111121,.002,.6,.026,.023,9,7
2018-03-01 06,서울 중구,중구,111121,.003,.6,.028,.021,15,12
2018-03-01 07,서울 중구,중구,111121,.003,.9,.03,.018,37,26
2018-03-01 08,서울 중구,중구,111121,.003,.8,.025,.021,45,35
2018-03-01 09,서울 중구,중구,111121,.003,.6,.026,.024,36,28
2018-03-01 10,서울 중구,중구,111121,.003,.5,.036,.017,51,39
2018-03-01 11,서울 중구,중구,111121,.003,.5,.041,.014,52,39
2018-03-01 12,서울 중구,중구,111121,.004,.5,.041,.014,49,37
2018-03-01 13,서울 중구,중구,111121,.003,.4,.044,.012,46,35
2018-03-01 14,서울 중구,중구,111121,.003,.4,.045,.011,41,29
2018-03-01 15,서울 중구,중구,111121,.003,.4,.045,.012,42,27
2018-03-01 16,서울 중구,중구,111121,.003,.4,.047,.011,39,29
2018-03-01 17,서울 중구,중구,111121,.003,.4,.048,.011,40,29
2018-03-01 18,서울 중구,중구,111121,.003,.4,.045,.014,41,31
2018-03-01 19,서울 중구,중구,111121,.003,.5,.043,.014,43,32
2018-03-01 20,서울 중구,중구,111121,.002,.5,.041,.015,42,31
2018-03-01 21,서울 중구,중구,111121,.003,.5,.044,.013,43,31
2018-03-01 22,서울 중구,중구,111121,.003,.5,.046,.012,44,32
2018-03-01 23,서울 중구,중구,111121,.003,.5,.046,.012,42,32
2018-03-01 24,서울 중구,중구,111121,.002,.5,.045,.011,45,32
2018-03-02 01,서울 중구,중구,111121,.003,.5,.045,.009,44,30
2018-03-02 02,서울 중구,중구,111121,.003,.4,.044,.008,42,28
2018-03-02 03,서울 중구,중구,111121,.003,.4,.043,.008,43,28
2018-03-02 04,서울 중구,중구,111121,.003,.4,.042,.008,46,24
2018-03-02 05,서울 중구,중구,111121,.003,.4,.04,.009,53,24
2018-03-02 06,서울 중구,중구,111121,.003,.4,.036,.013,54,20
2018-03-02 07,서울 중구,중구,111121,.003,.5,.025,.023,59,20
2018-03-02 08,서울 중구,중구,111121,.003,.6,.013,.037,69,22
2018-03-02 09,서울 중구,중구,111121,.003,.6,.014,.038,63,21
2018-03-02 10,서울 중구,중구,111121,.003,.6,.013,.04,58,22
2018-03-02 11,서울 중구,중구,111121,.003,.7,.013,.044,65,25
2018-03-02 12,서울 중구,중구,111121,.003,.6,.017,.04,66,24
2018-03-02 13,서울 중구,중구,111121,.003,.5,.02,.036,61,26
2018-03-02 14,서울 중구,중구,111121,.006,.5,.018,.044,62,27
2018-03-02 15,서울 중구,중구,111121,.006,.6,.022,.042,76,33
2018-03-02 16,서울 중구,중구,111121,.006,.5,.023,.041,64,26
2018-03-02 17,서울 중구,중구,111121,.005,.5,.02,.043,60,24
2018-03-02 18,서울 중구,중구,111121,.005,.5,.013,.049,57,22
2018-03-02 19,서울 중구,중구,111121,.006,.5,.007,.056,54,22
2018-03-02 20,서울 중구,중구,111121,.005,.5,.003,.056,52,18
2018-03-02 21,서울 중구,중구,111121,.004,.6,.003,.056,54,18
2018-03-02 22,서울 중구,중구,111121,.004,.6,.002,.057,54,21
2018-03-02 23,서울 중구,중구,111121,.004,.7,.002,.056,56,23
2018-03-02 24,서울 중구,중구,111121,.004,.8,.002,.061,53,22
2018-03-03 01,서울 중구,중구,111121,.004,.8,.002,.059,55,26
2018-03-03 02,서울 중구,중구,111121,.004,.7,.002,.056,52,22
2018-03-03 03,서울 중구,중구,111121,.004,.8,.002,.056,51,23
2018-03-03 04,서울 중구,중구,111121,.005,.8,.002,.056,58,27
2018-03-03 05,서울 중구,중구,111121,.005,.7,.002,.053,66,31
2018-03-03 06,서울 중구,중구,111121,.005,.8,.002,.056,61,28
2018-03-03 07,서울 중구,중구,111121,.005,.9,.002,.058,64,34
2018-03-03 08,서울 중구,중구,111121,.005,.8,.003,.056,60,29
2018-03-03 09,서울 중구,중구,111121,.005,.8,.005,.052,61,34
2018-03-03 10,서울 중구,중구,111121,.005,.8,.008,.052,57,34
2018-03-03 11,서울 중구,중구,111121,.006,.8,.01,.051,62,39
2018-03-03 12,서울 중구,중구,111121,.004,.6,.016,.046,53,31
2018-03-03 13,서울 중구,중구,111121,.004,.6,.019,.042,48,29
2018-03-03 14,서울 중구,중구,111121,.004,.5,.021,.043,43,25
2018-03-03 15,서울 중구,중구,111121,.005,.5,.022,.044,46,29
2018-03-03 16,서울 중구,중구,111121,.004,.5,.028,.04,43,22
2018-03-03 17,서울 중구,중구,111121,.006,.4,.034,.035,50,19
2018-03-03 18,서울 중구,중구,111121,.007,.5,.031,.037,43,19
2018-03-03 19,서울 중구,중구,111121,.008,.5,.02,.045,38,19
2018-03-03 20,서울 중구,중구,111121,.01,.5,.016,.049,30,16
2018-03-03 21,서울 중구,중구,111121,.009,.6,.015,.048,31,18
2018-03-03 22,서울 중구,중구,111121,.008,.5,.021,.042,33,20
2018-03-03 23,서울 중구,중구,111121,.007,.5,.026,.037,34,22
2018-03-03 24,서울 중구,중구,111121,.005,.4,.027,.033,35,21
2018-03-04 01,서울 중구,중구,111121,.004,.4,.027,.03,32,18
2018-03-04 02,서울 중구,중구,111121,.005,.5,.017,.04,30,18
2018-03-04 03,서울 중구,중구,111121,.004,.6,.008,.045,32,20
2018-03-04 04,서울 중구,중구,111121,.005,.6,.006,.046,36,21
2018-03-04 05,서울 중구,중구,111121,.005,.7,.006,.044,40,22
2018-03-04 06,서울 중구,중구,111121,.005,.5,.018,.033,39,23
2018-03-04 07,서울 중구,중구,111121,.005,.5,.017,.034,37,26
2018-03-04 08,서울 중구,중구,111121,.005,.5,.013,.038,34,24
2018-03-04 09,서울 중구,중구,111121,.006,.6,.008,.045,34,22
2018-03-04 10,서울 중구,중구,111121,.006,.6,.011,.043,30,22
2018-03-04 11,서울 중구,중구,111121,.006,.6,.008,.048,26,18
2018-03-04 12,서울 중구,중구,111121,.006,.6,.01,.047,28,23
2018-03-04 13,서울 중구,중구,111121,.006,.7,.008,.05,34,28
2018-03-04 14,서울 중구,중구,111121,.006,.7,.01,.047,33,26
2018-03-04 15,서울 중구,중구,111121,.006,.6,.011,.044,28,23
2018-03-04 16,서울 중구,중구,111121,.005,.5,.018,.038,21,16
2018-03-04 17,서울 중구,중구,111121,.005,.6,.013,.043,19,15
2018-03-04 18,서울 중구,중구,111121,.005,.6,.016,.037,17,13
2018-03-04 19,서울 중구,중구,111121,.005,.5,.014,.038,14,12
2018-03-04 20,서울 중구,중구,111121,.005,.5,.016,.035,13,11
2018-03-04 21,서울 중구,중구,111121,.005,.5,.023,.028,11,9
2018-03-04 22,서울 중구,중구,111121,.004,.5,.027,.023,10,6
2018-03-04 23,서울 중구,중구,111121,.004,.4,.03,.02,8,5
2018-03-04 24,서울 중구,중구,111121,.004,.4,.036,.016,5,3
2018-03-05 01,서울 중구,중구,111121,.004,.4,.039,.014,6,5
2018-03-05 02,서울 중구,중구,111121,.004,.4,.04,.012,5,3
2018-03-05 03,서울 중구,중구,111121,.004,.4,.04,.013,5,3
2018-03-05 04,서울 중구,중구,111121,.004,.4,.041,.011,5,3
2018-03-05 05,서울 중구,중구,111121,.003,.4,.039,.012,5,3
2018-03-05 06,서울 중구,중구,111121,.003,.4,.034,.017,5,3
2018-03-05 07,서울 중구,중구,111121,.003,.4,.023,.028,5,3
2018-03-05 08,서울 중구,중구,111121,.003,.5,.012,.042,5,3
2018-03-05 09,서울 중구,중구,111121,.003,.6,.013,.041,5,3
2018-03-05 10,서울 중구,중구,111121,.003,.5,.017,.038,5,3
2018-03-05 11,서울 중구,중구,111121,.003,.4,.03,.023,5,3
2018-03-05 12,서울 중구,중구,111121,.003,.4,.033,.021,5,3
2018-03-05 13,서울 중구,중구,111121,.003,.5,.039,.014,5,4
2018-03-05 14,서울 중구,중구,111121,.003,.4,.042,.012,8,6
2018-03-05 15,서울 중구,중구,111121,.003,.5,.042,.012,9,5
2018-03-05 16,서울 중구,중구,111121,.004,.4,.038,.016,6,3
